Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website,Unnamed: 0,_url,depth,base_url,status,code,has_keyword
ROVEDA SRL,12197290153.0,152010,Milano,Lombardia,www.roveda1955.com,,,,,,,
MARIO LEVI S.P.A.,5285410014.0,151100,Torino,Piemonte,mariolevi.com,,,,,,,
DIAMANT S.R.L.,2922140237.0,152010,Verona,Veneto,www.ciclostar.it,,,,,,,
SANTONI SOCIETA' PER AZIONI,1806460430.0,152010,Milano,Lombardia,www.santonishoes.com,,,,,,,
LAMIPEL-S.P.A.,1259430500.0,151100,Pisa,Toscana,www.lamipel.it,,,,,,,
FALC S.P.A.,347770430.0,152010,Macerata,Marche,www.falcotto.com,,,,,,,
GIANVITO ROSSI S.R.L.,3591680404.0,152010,Forlì-Cesena,Emilia-Romagna,www.gianvitorossi.com,,,,,,,
GUERRIERO PRODUZIONE PELLETTERIE S.R.L.,6253000639.0,151209,Napoli,Campania,www.guerrierosrl.eu,,,,,,,
PREMIATA SRL,1467490445.0,152010,Milano,Lombardia,mille885.com,,,,,,,
ROSSIMODA S.R.L.,350530283.0,152010,Padova,Veneto,rossimoda.com,,,,,,,
CREST LEATHER ITALIA S.R.L.,3906160241.0,151100,Vicenza,Veneto,www.crestleather.com,,,,,,,
AMA S.R.L.,3395630159.0,150000,Milano,Lombardia,http://www.ama-milano.it/it/,,,,,,,
COCCINELLE S.P.A.,478330343.0,151209,Parma,Emilia-Romagna,http://www.coccinelle.com,,,,,,,
CONCERIA NUTI IVO - SOCIETA' PER AZIONI,1600380503.0,151100,Pisa,Toscana,www.nutiivo.it/nutiivo,,,,,,,
TRIPEL DUE S.R.L.,4718020482.0,151209,Firenze,Toscana,tripeldue.it,,,,,,,
DSQUARED2 S.P.A.,5377120968.0,152010,Milano,Lombardia,dsquared2.com,,,,,,,
PIQUADRO S.P.A.,2554531208.0,151209,Bologna,Emilia-Romagna,ru.piquadro.com,,,,,,,
GIUSEPPE ZANOTTI S.P.A.,2067600409.0,152010,Forlì-Cesena,Emilia-Romagna,www.giuseppezanotti.ru,,,,,,,
FREELAND S.R.L.,5031920480.0,152010,Firenze,Toscana,www.freelandcalzature.it,,,,,,,
PELLETTERIE PALLADIO S.R.L. DI LANGELLA,2295070243.0,151209,Vicenza,Veneto,pelletteriepalladio.it,,,,,,,
ARTISANS SHOES S.R.L.,360830442.0,152010,Fermo,Marche,http://www.italianshoes.com,,,,,,,
BONAUDO S.P.A.,474700010.0,151100,Milano,Lombardia,http://www.bonaudo.com,,,,,,,
RUSSO DI CASANDRINO S.P.A.,1238111213.0,151100,Napoli,Campania,www.russodicasandrino.com,,,,,,,
CONCERIA CRISTINA S.P.A. - UNIPERSONALE,2441120249.0,151100,Vicenza,Veneto,http://www.gruppoperetti.com,,,,,,,
SEVEN S.P.A.,963330014.0,151209,Torino,Piemonte,yub.it,,,,,,,
CALZATURIFICIO JUMBO S.P.A.,1279690232.0,152010,Verona,Veneto,www.calzaturificiojumbo.it,,,,,,,
EUROSUOLE - S.P.A.,252600432.0,152020,Macerata,Marche,www.eurosuole.com,,,,,,,
OLIP ITALIA S.P.A.,384170239.0,152010,Verona,Veneto,www.as-98.com,,,,,,,
MARBELLA PELLAMI SPA,481840502.0,151100,Pisa,Toscana,www.conceriamarbella.it,,,,,,,
MANIFATTURA BERLUTI S.R.L.,11351490153.0,152010,Ferrara,Emilia-Romagna,http://www.berluti.com,,,,,,,
LOTTO SPORT ITALIA S.P.A.,3456770266.0,152010,Treviso,Veneto,lottosport.com,,,,,,,
MASONI INDUSTRIA CONCIARIA S.P.A.,1592920506.0,151100,Pisa,Toscana,www.masonispa.com,,,,,,,
BASE PROTECTION S.R.L.,6617940728.0,152010,Barletta-Andria-Trani,Puglia,www.baseprotection.fr,,,,,,,
GRUPPO CONCIARIO C.M.C. INTERNATIONAL S.P.A. SOCIETA' BENEFIT,1086720503.0,151100,Pisa,Toscana,www.cuoioditoscana.it,,,,,,,
NILLAB MANIFATTURE ITALIANE S.P.A.,4610220271.0,152010,Venezia,Veneto,www.nillab.it,,,,,,,
SIRP S.P.A.,2999870245.0,151100,Vicenza,Veneto,http://www.sirp.com,,,,,,,
CONCERIA ANTIBA S.P.A.,1015070509.0,151100,Pisa,Toscana,www.antiba.it,,,,,,,
THE BRIDGE S.P.A.,4253320487.0,151209,Firenze,Toscana,lancel.com,,,,,,,
DIMAR GROUP S.P.A.,2202670564.0,151209,Viterbo,Lazio,www.dimargroup.com,,,,,,,
CONCERIA INCAS SOCIETA' PER AZIONI,124880501.0,151100,Pisa,Toscana,www.iniziativeconciarieassociate.it,,,,,,,
TIVOLI GROUP - SOCIETA' PER AZIONI,1349601003.0,151209,Roma,Lazio,www.tivoligroup.it,,,,,,,
MENGHI SOCIETA' PER AZIONI OVVERO IN FORMA ABBREVIATA MENGHI S.P.A.,9461340961.0,152010,Milano,Lombardia,www.menghishoes.com,,,,,,,
FINCO 1865 S.P.A.,785430240.0,151100,Vicenza,Veneto,www.finco1865.it,,,,,,,
TRE ZETA GROUP S.P.A.,1842780502.0,152020,Pisa,Toscana,www.trezetagroup.com,,,,,,,
CONCERIA CADORE S.R.L.,656130242.0,151100,Vicenza,Veneto,conceriacadore.it,,,,,,,
DALBELLO S.R.L.,1837220266.0,152010,Treviso,Veneto,www.dalbello.it,,,,,,,
CONCERIA MONTEBELLO S.P.A.,584940241.0,151100,Vicenza,Veneto,www.montebello-tannery.it,,,,,,,
UVEX - CAGI S.R.L.,199840042.0,152010,Cuneo,Piemonte,http://www.uvex.de,,,,,,,
RENE' CAOVILLA S.P.A.,166690271.0,152010,Venezia,Veneto,www.caovilla.com,,,,,,,
SERGIO ROSSI SPA,3132190400.0,152010,Forlì-Cesena,Emilia-Romagna,www.sergiorossi.com,,,,,,,
MASPICA S.R.L.,4009100282.0,152010,Padova,Veneto,www.sixton.it,,,,,,,
BALDININI - S.R.L.,1727100404.0,152010,Forlì-Cesena,Emilia-Romagna,shoesmyway.baldinini-shop.com,,,,,,,
BONIS - S.P.A.,854160264.0,152010,Treviso,Veneto,www.bonis-spa.com,,,,,,,
RENZO FAVERO S.R.L.,1453790295.0,152010,Rovigo,Veneto,http://www.renzofavero.com,,,,,,,
ELISABET SRL,2208680443.0,152010,Fermo,Marche,elisabet.it,,,,,,,
BRANDS INDUSTRY S.R.L.,3759020237.0,151209,Padova,Veneto,www.brandsindustry.com,,,,,,,
HIDE S.P.A.,1970080287.0,151100,Padova,Veneto,www.hide.it,,,,,,,
VALMOR S.R.L.,1175300431.0,152010,Macerata,Marche,valmor.it,,,,,,,
GARSPORT S.R.L.,1917040261.0,152010,Treviso,Veneto,shop.garsport.it,,,,,,,
CALZATURIFICIO CLAUDIA - SOCIETA' PER AZIONI,366950467.0,152010,Lucca,Toscana,www.gmitaliane.it/claudia/,,,,,,,
CONCERIA SUPERIOR S.P.A.,104190509.0,151100,Pisa,Toscana,www.superior.it,,,,,,,
CALZATURIFICIO SKANDIA S.P.A.,3580790263.0,152010,Treviso,Veneto,skandiashoes.com,,,,,,,
"BRIC'S INDUSTRIA VALIGERIA FINE - S.P.A. O, IN ABBREVIATO, BRIC'S S.P.A.",793550138.0,151209,Como,Lombardia,http://www.brics.it,,,,,,,
BULGARI ACCESSORI S.R.L.,5571910487.0,151209,Firenze,Toscana,www.bulgari.com,31031.0,https://www.bulgari.com/it-it/sustainability/governance/brand-protection.html,2.0,www.bulgari.com,Status.SUCCESS,200.0,True
CONCERIA STEFANIA S.P.A.,4879720151.0,151100,Milano,Lombardia,www.stefania.it,,,,,,,
B.C.N. CONCERIE S.P.A.,294820501.0,151100,Pisa,Toscana,www.bcn.it,,,,,,,
CALZATURIFICIO PETRA - S.R.L.,435100482.0,152010,Firenze,Toscana,http://www.petrashoes.it,,,,,,,
CALZATURIFICIO ORION S.P.A.,2018450284.0,152010,Padova,Veneto,www.orionspa.com,,,,,,,
DANIEL - S.R.L.,3140880489.0,151209,Prato,Toscana,www.portaliboutique.it,,,,,,,
CALZATURIFICIO CARMENS S.P.A.,1502380288.0,152010,Padova,Veneto,www.carmens.it,,,,,,,
SELLE ITALIA S.R.L.,652320243.0,151200,Treviso,Veneto,us.devselle.it,,,,,,,
CONCERIA ZUMA PELLI PREGIATE SRL,2184430508.0,151100,Pisa,Toscana,www.zumapellipregiate.com,,,,,,,
PM S.R.L.,4364240277.0,152010,Padova,Veneto,www.philippemodel.com,,,,,,,
CALZATURIFICIO RODOLFO ZENGARINI - S.R.L.,780760443.0,152010,Fermo,Marche,www.rodolfozengariniofficial.com,,,,,,,
SEYMECHAMLOU S.R.L.,13417980151.0,152010,Milano,Lombardia,eu.christianlouboutin.com/it_en/,,,,,,,
MANIFATTURE LOMBARDE S.R.L.,9847720969.0,151209,Milano,Lombardia,www.manifatturelombarde.it,,,,,,,
GRUPPO PERETTI S.P.A.,1924290248.0,151100,Vicenza,Veneto,http://www.gruppoperetti.com,,,,,,,
CARAVEL PELLI PREGIATE S.P.A.,5143740487.0,151100,Pisa,Toscana,www.caravelspa.com,,,,,,,
CAPRI FOOTWEAR INDUSTRIES S.R.L.,484600473.0,152010,Pistoia,Toscana,www.albertogozzi.it,,,,,,,
DEK MANIFATTURE SRL,6667441213.0,152010,Napoli,Campania,www.decristofaroshoes.com,,,,,,,
CONCERIA SETTEBELLO S.P.A.,205010507.0,151100,Pisa,Toscana,www.settebelloconceria.it,,,,,,,
CONCERIA GAIERA GIOVANNI S.P.A.,693030157.0,151100,Milano,Lombardia,www.gaiera.eu,,,,,,,
SPIRALE S.R.L.,1802460228.0,152010,Trento,Trentino-Alto Adige,www.spirale.it,,,,,,,
NORTHWAVE S.R.L.,1572560991.0,152010,Treviso,Veneto,www.northwave.com,,,,,,,
SIDI SPORT S.R.L.,317780260.0,152010,Treviso,Veneto,www.sidi.com,,,,,,,
PELLETTERIA ALMAX S.R.L.,3772260489.0,151209,Firenze,Toscana,www.pelletteriaalmax.com,,,,,,,
I.C.A. - INDUSTRIA CONCIARIA ARZIGNANESE S.P.A.,142300243.0,151100,Vicenza,Veneto,http://www.icaleather.it,,,,,,,
CRISPI SPORT S.R.L.,1760300267.0,152010,Treviso,Veneto,www.crispi.it,,,,,,,
FRASSON S.P.A.,3397900261.0,152010,Treviso,Veneto,frasson.com,,,,,,,
EXENA SRL,1336080435.0,152010,Macerata,Marche,www.exena.it,,,,,,,
IL BISONTE S.P.A.,2076930482.0,151209,Firenze,Toscana,www.ilbisonte.com,,,,,,,
PRIMA EASTERN S.P.A.,1539900694.0,151200,Chieti,Abruzzo,www.pscomponents.eu,,,,,,,
RIVER GROUP S.P.A.,6595170488.0,152010,Firenze,Toscana,www.gmitaliane.it,,,,,,,
BENIT S.R.L.,4698840487.0,152010,Firenze,Toscana,www.benit.it,,,,,,,
CONCERIA VOLPIANA S.P.A.,1521690246.0,151100,Vicenza,Veneto,www.conceriavolpiana.it,,,,,,,
BORBONESE S.P.A.,1703261204.0,151209,Milano,Lombardia,http://www.borbonese.com,,,,,,,
GORETTI S.R.L.,2783180421.0,152020,Ancona,Marche,goretti.it,,,,,,,
A.S.S.O. S.P.A.,1125370443.0,152010,Fermo,Marche,http://www.assoitaly.it,,,,,,,
BMB MANIFATTURA BORSE S.P.A.,6776850486.0,151209,Firenze,Toscana,www.bmb-manifatturaborse.com,,,,,,,
DOLMEN S.P.A.,459090502.0,151100,Pisa,Toscana,www.dolmenspa.com,,,,,,,
AKU ITALIA S.R.L.,4295240263.0,152010,Treviso,Veneto,www.aku.it,,,,,,,
CARISMA - S.P.A.,3406550651.0,151100,Salerno,Campania,http://www.carismaleather.it,,,,,,,
GARMONT INTERNATIONAL S.R.L.,4643700265.0,152010,Treviso,Veneto,uk.garmont.com,,,,,,,
FEBOS S.R.L.,3517220269.0,152010,Treviso,Veneto,www.febos.com,,,,,,,
FLY FLOT S.R.L.,3277360982.0,152010,Brescia,Lombardia,www.flyflot.it,,,,,,,
INGROPELLI - SOCIETA' A RESPONSABILITA' LIMITATA SIGLABILE ANCHE INGROPELLI - S.R.L.,3884570486.0,151100,Firenze,Toscana,www.ingropelli.it,,,,,,,
DEVICONCIA S.R.L.,230260648.0,151100,Milano,Lombardia,www.deviconcia.it,,,,,,,
INDUSTRIA PELLAMI VALDARNO INTERNATIONAL S.P.A.,1361360504.0,151100,Pisa,Toscana,www.valdarno.it,,,,,,,
CORRADO MARETTO S.R.L.,3686750286.0,152010,Padova,Veneto,www.maretto.it,,,,,,,
ARTIGIANI VENEZIANI S.R.L.,1499010278.0,151209,Venezia,Veneto,www.artigianiveneziani.it,,,,,,,
3 C - LAVORAZIONE PELLI S.R.L.,1989660244.0,151100,Vicenza,Veneto,www.conceria3c.it,,,,,,,
GAB GROUP SRL,5985700482.0,151209,Firenze,Toscana,www.gabgroup.it,,,,,,,
MORESCHI S.P.A.,333260180.0,152010,Pavia,Lombardia,www.moreschi.it,,,,,,,
GREY MER S.R.L.,1186220404.0,152010,Forlì-Cesena,Emilia-Romagna,www.greymer.it,,,,,,,
LA PATRIE S.R.L.,2158950507.0,151100,Pisa,Toscana,lapatrie.it,,,,,,,
PELLETTERIE SAGI S.R.L.,3274540248.0,151209,Vicenza,Veneto,sagipelletterie.com,,,,,,,
CONCERIA PRIANTE S.R.L.,803660240.0,151100,Vicenza,Veneto,http://www.conceriapriante.com,,,,,,,
LA GRIFFE S.R.L.,8408390964.0,152010,Milano,Lombardia,www.lagriffe.it,,,,,,,
SIVA - INDUSTRIA PELLI S.R.L.,1362490037.0,151100,Novara,Piemonte,www.sivapelli.com,,,,,,,
SILVER 1 S.R.L.,2525730392.0,152010,Ravenna,Emilia-Romagna,www.raftinggoldstar.com,,,,,,,
STILEMA S.R.L.,4421140015.0,151209,Milano,Lombardia,http://www.stilema.com,,,,,,,
CALZATURIFICIO CASADEI SOCIETA' PER AZIONI O IN FORMA ABBREVIAT A CALZATURIFICIO CASADEI S.P.A.,918440405.0,152010,Forlì-Cesena,Emilia-Romagna,casadei.com,,,,,,,
ATTILIO GIUSTI LEOMBRUNI S.P.A.,1125410447.0,152010,Fermo,Marche,www.agl.com,,,,,,,
RINALDI CONCERIA S.R.L. (SOCIETA' CON UNICO SOCIO),5853000486.0,151100,Firenze,Toscana,www.rinaldiconceria.com,,,,,,,
MANDARINA DUCK S.P.A.,820861201.0,151209,Milano,Lombardia,utility.mandarinaduck.com,,,,,,,
CALZATURIFICIO DUCA DEL NORD S.R.L.,1119660445.0,152010,Fermo,Marche,www.officinecreativeitalia.com,,,,,,,
FALCO PELLAMI SPA,997700505.0,151100,Pisa,Toscana,www.falco.it,,,,,,,
LA.I.PE. - LAVORAZIONE ITALIANA PELLETTERIE - S.P.A.,334670437.0,151209,Macerata,Marche,www.cromia.it,,,,,,,
COLONNELLI 2 PUNTOZERO S.R.L.,2113150672.0,151209,Roma,Lazio,www.colonnellimanifatture.com,,,,,,,
GRUPPO VECCHIA TOSCANA S.P.A.,3070480482.0,151100,Firenze,Toscana,www.english.ilceaconceria.it,,,,,,,
PRESTIGE ITALIA S.P.A.,3418460246.0,151209,Vicenza,Veneto,www.prestigeitalia.com,,,,,,,
CALZATURIFICIO ARKTE S.R.L.,6917490150.0,152010,Milano,Lombardia,www.calzaturificioarkte.com,,,,,,,
CONCERIA NUOVA IMPALA - S.R.L.,1042520500.0,151100,Pisa,Toscana,www.nuovaimpala.com,,,,,,,
PERIN SRL,1882520248.0,152010,Vicenza,Veneto,www.perinspa.it,,,,,,,
M.G.M. S.P.A.,3084300171.0,152010,Treviso,Veneto,www.mgmspa.eu,,,,,,,
ASOLO S.R.L.,3385130269.0,152000,Treviso,Veneto,www.asolo.com,,,,,,,
DE ROBERT CALZATURE S.R.L.,2002930283.0,152010,Padova,Veneto,www.derobert.com,,,,,,,
CAMPOMAGGI & CATERINA LUCCHI S.P.A.,3487580403.0,151209,Forlì-Cesena,Emilia-Romagna,www.campomaggi.com,,,,,,,
CALZATURIFICIO FRAU S.P.A.,799810239.0,152010,Verona,Veneto,www.cromier.it,,,,,,,
GAERNE S.P.A.,1833670266.0,152010,Treviso,Veneto,www.gaerne.com,,,,,,,
TREND S.R.L.,5379610487.0,151209,Firenze,Toscana,www.trendsrl.eu,,,,,,,
MEDUSA S.R.L.,964270292.0,152010,Rovigo,Veneto,medusashoes.com,,,,,,,
CONCERIA GI. ELLE. EMME. S.P.A.,321050502.0,151100,Pisa,Toscana,gielleemme.it,,,,,,,
SCIARADA INDUSTRIA CONCIARIA S.P.A.,1047170509.0,151100,Pisa,Toscana,http://www.sciarada.it,,,,,,,
PELLETTERIE GIANCARLO S.R.L.,1513630481.0,151209,Firenze,Toscana,www.pelletteriegiancarlo.net,,,,,,,
STONEFLY SPA,3282540263.0,152010,Treviso,Veneto,www.stonefly.it/,,,,,,,
LINEA C GROUP S.R.L.,3456370174.0,152010,Brescia,Lombardia,www.lineacshoes.com,,,,,,,
VESTA CORPORATION S.P.A.,1915730509.0,151100,Pisa,Toscana,www.vestacorp.it,,,,,,,
CARAVELLE S.R.L.,166700278.0,152010,Padova,Veneto,www.caravelleshoes.it,,,,,,,
FORMIFICIO ROMAGNOLO - S.P.A.,139210405.0,152020,Forlì-Cesena,Emilia-Romagna,www.formificioromagnolo.com,,,,,,,
WALLES S.R.L.,1518980246.0,152010,Vicenza,Veneto,www.walles.it,,,,,,,
CONDOR TRADE S.R.L.,1540490982.0,152010,Brescia,Lombardia,www.inblu.com,,,,,,,
CALZATURIFICIO SAN GIORGIO S.R.L.,162930507.0,152000,Pisa,Toscana,www.sangiorgiosrl.com,,,,,,,
LAMONTI CUOIO S.P.A. SOCIETA' BENEFIT,1294790504.0,151100,Pisa,Toscana,www.lamonti.it,,,,,,,
CALZATURIFICIO 5 BI S.R.L.,4056210729.0,152010,Barletta-Andria-Trani,Puglia,www.bicap.it,,,,,,,
MARIO LEVI ITALIA S.R.L,3099810248.0,151100,Vicenza,Veneto,www.marioleviitalia.it,,,,,,,
CONCERIA FERRARI S.R.L.,1588520245.0,151100,Vicenza,Veneto,http://www.ferrarilasi.it/conceria,,,,,,,
CONCERIA SAN BIAGIO S.R.L.,922430244.0,151100,Vicenza,Veneto,www.vicenzapelli.com,,,,,,,
GIOVANNI MONTE S.R.L.,4608190965.0,152010,Milano,Lombardia,www.assocalzaturifici.it/ancimain/crm?id=432,,,,,,,
CONCERIA PEGASO S.P.A.,1158910503.0,151100,Firenze,Toscana,www.albagroup.it,,,,,,,
ATELIER HCI S.R.L.,8866610960.0,152010,Milano,Lombardia,www.hermes.com,,,,,,,
FONPELLI - S.P.A.,1705980249.0,151100,Vicenza,Veneto,www.fonpelli.it,,,,,,,
CALZATURIFICIO DEMA S.R.L.,2742450618.0,152010,Caserta,Campania,www.demacalzature.it,,,,,,,
LES FEMMES S.R.L.,1681430441.0,152010,Fermo,Marche,www.calzaturificiolesfemmes.com,,,,,,,
DERMA SOCIETA' A RESPONSABILITA' LIMITATA,207330648.0,151100,Avellino,Campania,http://www.conceriaderma.it,,,,,,,
CONCERIA ZONTA - S.P.A.,144240249.0,151100,Vicenza,Veneto,http://www.conceriazonta.com,,,,,,,
OPERA S.R.L.,1970310502.0,151100,Pisa,Toscana,www.conceriaopera.it,,,,,,,
BBM INTERNATIONAL S.R.L.,11945150156.0,151100,Milano,Lombardia,www.bbminternational.it,,,,,,,
LEMIE - S.P.A.,583700166.0,151209,Bergamo,Lombardia,www.lemie.it,,,,,,,
DA.MI. - S.R.L.,412840449.0,152020,Fermo,Marche,dami.it,,,,,,,
CALZATURIFICIO PANDA SPORT,263440745.0,152000,Brindisi,Puglia,www.pandasafety.com,,,,,,,
CALZATURIFICIO PATRIZIA S.R.L.,679350983.0,152010,Brescia,Lombardia,www.patriziashoes.com,,,,,,,
CALZATURIFICIO ZAMBERLAN S.R.L.,1274380243.0,152010,Vicenza,Veneto,eu.zamberlan.com,,,,,,,
CALZATURIFICIO CALLEGARI S.R.L.,762630291.0,152010,Rovigo,Veneto,callegaricalzature.it,,,,,,,
CONCERIA LA VENETA S.P.A.,2721270243.0,151100,Vicenza,Veneto,www.concerialaveneta.com,,,,,,,
CURTIBA INDUSTRIA CONCIARIA SPA,1419160500.0,151100,Pisa,Toscana,www.curtiba.it,,,,,,,
CARASCO S.P.A.,1361760505.0,151100,Pisa,Toscana,www.carasco.eu,,,,,,,
ESAPEL - S.P.A.,1235840244.0,151100,Vicenza,Veneto,www.esapel.com,,,,,,,
MOSAICON SHOES S.R.L.,3177461203.0,152010,Pavia,Lombardia,mariocerutti.it,,,,,,,
DOUCAL'S S.R.L.,1025590447.0,152010,Fermo,Marche,www.doucals.com,,,,,,,
GGDB / SIRIO S.R.L.,4095090611.0,152010,Napoli,Campania,www.calzaturificiosirio.it,,,,,,,
ZEIS EXCELSA S.P.A.,101700441.0,152010,Fermo,Marche,www.zeisexcelsa.it,,,,,,,
CONCERIA TOLIO S.P.A.,164110249.0,151100,Vicenza,Veneto,conceriatolio.com,,,,,,,
VIGNOLA NOBILE S.P.A.,2362030641.0,151100,Avellino,Campania,http://www.vignolanobile.com,,,,,,,
VICTORIA - S.R.L.,1084560505.0,151100,Pisa,Toscana,conceriavictoria.it,,,,,,,
CLEO BOTTIER F.LLI MONDELLINI SRL,380580159.0,152010,Milano,Lombardia,www.cleobottier.com,,,,,,,
PANTHER SRL,4340280280.0,152010,Padova,Veneto,panthersafety.it,,,,,,,
ALBA & N.S.R.L.,6471190725.0,152010,Barletta-Andria-Trani,Puglia,www.albaen.it,,,,,,,
M & G SRL,692420268.0,152010,Treviso,Veneto,www.megfootwear.com,,,,,,,
CALZATURIFICIO FRATELLI SOLDINI - S.P.A.,100020510.0,152010,Arezzo,Toscana,calzaturificiosoldini.it,,,,,,,
CALZATURIFICIO MARITAN S.P.A.,2443890237.0,152000,Verona,Veneto,www.calzaturificiomaritanspa.it,,,,,,,
B.S.Z. S.P.A.,285570248.0,151100,Vicenza,Veneto,www.bszitaly.com,,,,,,,
CONCERIA GUERINO S.R.L.,7997520155.0,151100,Milano,Lombardia,www.conceriaguerino.it,,,,,,,
CORIUM LINE SRL,2749870164.0,151209,Padova,Veneto,www.coriumlinepelletterie.com,,,,,,,
SANLORENZO S.P.A.,1510810508.0,151100,Pisa,Toscana,www.sanlorenzospa.it,,,,,,,
ONLY FRANK S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA,2203990649.0,151100,Salerno,Campania,www.onlyfrank.it,,,,,,,
DALLA BENETTA LUIGI S.R.L.,1908730243.0,151100,Vicenza,Veneto,www.dallabenetta.com,,,,,,,
S.I.R.I.O. LAVORAZIONE CONCIARIA S.R.L.,3028980484.0,151100,Firenze,Toscana,http://www.sirio-srl.it,,,,,,,
JERA S.R.L.,3407490246.0,151100,Vicenza,Veneto,www.jera.eu,,,,,,,
POLETTO S.R.L.,2626120246.0,151100,Vicenza,Veneto,www.polettoleathers.com,,,,,,,
LELLI KELLY - SOCIETA' PER AZIONI ABBREVIABILE IN: LELLI KELLY S.P.A.,1063110462.0,152010,Lucca,Toscana,www.lellikelly.it,,,,,,,
GRUPPO SELLERIA EQUIPE S.P.A.,2601230242.0,151209,Vicenza,Veneto,www.selleriaequipe.it,,,,,,,
CUNIAL - COMPONENTS S.R.L.,4152250264.0,152010,Treviso,Veneto,www.cunial.it,,,,,,,
A.B. FLORENCE S.R.L.,2159880489.0,151209,Firenze,Toscana,abflorence.it,,,,,,,
CUOIFICIO BISONTE S.P.A.,115010506.0,151100,Pisa,Toscana,www.cuoificiobisonte.it,,,,,,,
OVER TEAK S.R.L.,4130560727.0,152010,Barletta-Andria-Trani,Puglia,uniwork.it,,,,,,,
MEET ITALIA SRL,1843370261.0,152010,Treviso,Veneto,http://www.meetitalia.it,,,,,,,
CLUB SHOES S.R.L.,2212040469.0,152010,Lucca,Toscana,www.clubshoessrl.com,,,,,,,
