Ragione sociale,Website,URLPositivo,Profondità,Significativo,EsitoRichiesta,CodiceRisposta
Parabiago Collezioni Srl,https://www.thierryrabotin.com/,,,,SUCCESSO,200.0
Alessandro Ticozzi & C Sas,https://www.marketscreener.com/insider/ALESSANDRO-TICOZZI-A2AI18/,https://www.marketscreener.com/insider/ALESSANDRO-TICOZZI-A2AI18,1.0,False,SUCCESSO,200.0
Mec Europa Srl,https://www.meceuropadue.com/,,,,SUCCESSO,200.0
Creazioni D'acci Snc Di D'acci Antonio & C,https://www.ilmessaggero.it/abruzzo/macchinista_eroe_antonio_d_acci_chi_e_cosa_ha_fatto-8021147.html,,,,SUCCESSO,200.0
Cooperativa S.r.l. Pantofolificio Dora,https://www.dnb.com/business-directory/company-profiles.cooperativa_srl_pantofolificio_dora.3edaa9f70d5d1524a5d14d0a4d2e9f9e.html,,,,SUCCESSO,403.0
Calzaturificio Fratelli Zaniboni Di Fausto Donato Zaniboni E C Snc,https://www.facebook.com/calzaturificiofaustozaniboni/,,,,SUCCESSO,200.0
Mef Di Migliorati Eugenio Franco & C. Snc,https://www.coobiz.it/azienda/verolanuova-produzione-puntali/co1625297,,,,SUCCESSO,200.0
Calzaturificio Brivio Di Dulio Francesca E C. - Societa' In Accomandita Semplice .,https://www.dnb.com/business-directory/company-profiles.calzaturificio_brivio_di_dulio_francesca_e_c_sas_.657cd7f33fea6a0dbadb39c3ff40b95d.html,,,,SUCCESSO,403.0
Albertini Walter Modellista,https://en.wikipedia.org/wiki/Walter_Albini,,,,SUCCESSO,200.0
Pantofolificio Rodes Di De Servi Elio & Zanoli Esterina S.n.c.,https://www.dnb.com/business-directory/company-profiles.pantofolificio_koala_snc_di_ceccato_stefano__c.8336297013b078eb65ecf82d90e679f5.html,,,,SUCCESSO,403.0
Dafra S.n.c. Di Specia & Gussoni,https://www.dafra.si/en/about-us/,,,,SUCCESSO,200.0
Guardolificio Universale Srl,https://www.dnb.com/business-directory/company-profiles.guardolificio_universale_20_srls.99b8f340ddd5348439483bdf456abba8.html,,,,SUCCESSO,403.0
Calzaturificio Monica Di Magnabosco Guerrino & Ramelli Silvana Snc,https://www.dnb.com/business-directory/company-profiles.calzaturificio_monica_di_magnabosco_guerrino__ramelli_silvana_snc.f29c6932d26fabed5dc982765b0d4455.html,,,,SUCCESSO,403.0
David Team Di Cogliati Stefano E C. - Societa' In Accomandita Semplice,https://www.youtube.com/watch?v=ZtGAOQMI1wU,,,,SUCCESSO,200.0
Fustellexpress S.a.s. Di Gallo Michele & C.,https://italy.globaldatabase.com/company/fustellexpress-s-a-s-di-gallo-michele-c,,,,SUCCESSO,200.0
Tacchificio Orri Di Baldissera Osvaldo E Mauro Snc,http://www.tacchificioorri.it/,,,,SUCCESSO,200.0
Calzaturificio Bollati Di Giancarlo Bollati E C Sas,https://www.coobiz.it/azienda/parabiago-fabbricazione-commercio/co1629438,,,,SUCCESSO,200.0
Sughermec Snc Di Sorrentino Marcello & C.,https://www.dnb.com/business-directory/company-profiles.sughermec_snc_di_sorrentino_marcello__c.9fd3c7465f5617da604e9260afdb538d.html,,,,SUCCESSO,403.0
Arianna Di De Micheli Alberto & C. Sas,https://www.facebook.com/public/Arianna-De-Micheli/,,,,SUCCESSO,200.0
Tomaificio Ricamificio Giotto S R L,https://www.dnb.com/business-directory/company-profiles.tomaificio_ricamificio_giotto_s_r_l.8d66816d92f5d56089e515521f056774.html,,,,SUCCESSO,403.0
Calzaturificio Sultana Di De Vincenzi Renato & C. Sas,https://sultana1962.com/,,,,SUCCESSO,200.0
Manifattura Ambrosiana Srl,https://www.dnb.com/business-directory/company-profiles.manifattura_ambrosiana_srl.4d808a3d4e5c1972c57d4e65e5a1caec.html,,,,SUCCESSO,403.0
Cutrona Carmelo E C. Snc,https://www.europages.co.uk/CUTRONA-CARMELO-C-SNC/SEAC000132815-001.html,,,,SUCCESSO,200.0
Calzaturificio Valentina S.r.l.,https://www.facebook.com/calzaturificiovalentina/,,,,SUCCESSO,200.0
Sander Shoes S.r.l.,https://www.sanders-uk.com/,,,,SUCCESSO,200.0
Tandem Di Renzi E C. S.n.c.,https://opencorpdata.com/lei/815600E106B2E3F87602,,,,SUCCESSO,200.0
Company Shoes Di Tirelli Luigi Giuseppe & C.snc,https://www.dnb.com/business-directory/company-profiles.flli_tirelli_di_tirelli_giuseppe_e_tirelli_gianpiero_snc.c7c359a2bdad9fef50c7015acb185b55.html,,,,SUCCESSO,403.0
Tranceria Bresciana Di Gandelli Roberto E C. S.n.c.,https://www.reteimprese.it/calzaturifici-calzolai-forniture/verolavecchia/azienda/433482,,,,SUCCESSO,200.0
Pantofolificio Fulvia Di Picone E Renna Sdf,https://www.dnb.com/business-directory/company-profiles.pantofolificio_fulvia_di_picone_e_renna_sdf.3b3fb87128416b6c1908d85ca21fa061.html,,,,SUCCESSO,403.0
Pantofolificio Duomo Di Franchini Sergio,https://en.wikipedia.org/wiki/Sergio_Franchi,,,,SUCCESSO,200.0
Gi - Erre Di Zampini Gianna Maria,http://www.gi-erre.com/en/company/history/,,,,ERRORE,
Claudio Merazzi Srl,https://it.linkedin.com/in/claudio-merazzi-0984ab52,,,,SUCCESSO,429.0
Calzaturificio Di Vigevano Srl,https://sultana1962.com/,,,,SUCCESSO,200.0
Tomaificio Marie Ann Di Dara Franco E C Snc,https://www.dnb.com/business-directory/company-profiles.tomaificio_altog_di_dalessandro_paolo__c_snc.1ef818904ca57091e7ebb536c96d1e3d.html,,,,SUCCESSO,403.0
Rcf Group Sas Di Pisu Rinaldo & C.,https://rcf-group.it/en/chi-siamo/,,,,SUCCESSO,200.0
Tiemmedi Di Torri Battista E Luigi Snc,https://m.tiemme.com/chi_siamo_pagina-det_10.php,,,,SUCCESSO,200.0
Belloni Sport Snc Di Belloni Giuseppe E C,https://www.dnb.com/business-directory/company-profiles.belloni_sport_sas_di_belloni_roberto_e_c.801f7ee7361c819ef235ac62e42672aa.html,,,,SUCCESSO,403.0
Pantofolificio Edda Di Tognon Luigi & C. Snc,https://www.misterimprese.it/lombardia/milano/castano-primo/calzature-produzione-e-vendita-ingrosso/336818.html,,,,SUCCESSO,200.0
Madial S N C Di Gilardi Enrichetta E Marinoni Celeste,https://italy.globaldatabase.com/company/madial-s-n-c-di-gilardi-enrichetta-e-marinoni-celeste,,,,SUCCESSO,200.0
Calzaturificio Romagnoli Di Romagnoli Graziella,https://romagnoli.com/,,,,SUCCESSO,200.0
Verdi Fashion Srl,http://www.verdi-italy.com/,,,,SUCCESSO,200.0
Bubamara Di Ziglioli Agostino,https://franoi.com/food/agostinos-closes-its-doors-after-38-years/,,,,SUCCESSO,200.0
Bandera Giovanni,https://pglex.it/professionisti/giovanni-bandera/,,,,SUCCESSO,200.0
Milk Snc Di Cinzia Tantardini E C,https://www.dnb.com/business-directory/company-profiles.milk_snc_di_cinzia_tantardini_e_c.2579b8a862a97611d5690e593e4d5fd2.html,,,,SUCCESSO,403.0
Tomaificio Luna Sas Di Salandra Rosaria E C .,https://www.dnb.com/business-directory/company-profiles.tomaificio_luna_sas_di_salandra_rosaria_e_c.2706b31cb9f2209dd6a4a3fdf282e1c4.html,,,,SUCCESSO,403.0
Pantofolificio Marina Di Comini Luciano & C. S.n.c.,https://italialei.it/informazioni-dettagliate/34270593/pantofolificio-marina-di-comini-luciano-e-c-snc/,,,,SUCCESSO,200.0
C.s.l. Di Carminati Clodoveo E C. Snc,https://local.italy724.info/en/csl-di-carminati-clodoveo-e-c-snc-39-0331-440340.html,,,,SUCCESSO,200.0
I Pugliesi Di Marcone Maria Luigia E Paganelli Vincenzo Snc,https://www.necrologiweb.it/necrologio/19736/vincenzo-paganelli-vice-brigadiere-dell-arma-dei-carabinieri,,,,SUCCESSO,200.0
Cavestro Antonio Gabriele S.r.l.,https://www.linkedin.com/pub/dir/Gabriele/Cavestro,,,,SUCCESSO,999.0
Marel Srl,https://marel.com/en/,,,,SUCCESSO,200.0
Calzaturificio Fratelli Rosana Srl,https://www.dnb.com/business-directory/company-profiles.calzaturificio_fratelli_rosana_srl.fbd6118af5900b02eec8e48ff49cb97c.html,,,,SUCCESSO,403.0
Sirio Srl,https://www.siriofirenze.com/?lang=en,,,,SUCCESSO,200.0
Mito Calzature Srl,https://www.facebook.com/MitoCalzature/,,,,SUCCESSO,200.0
Tomaificio Carla Di Necchi Mario E Brigato Claudia & C. S.a.s.,https://www.impresaitalia.info/mstdb80708017/tomaificio-carla-di-necchi-mario-e-brigato-claudia-e-c-sas/vigevano.aspx,,,,SUCCESSO,200.0
Tomaificio Zumelli S.n.c. Di Zumelli Dania E C.,https://italy.globaldatabase.com/company/tomaificio-zumelli-s-n-c-di-zumelli-dania-e-c,,,,SUCCESSO,200.0
Pantofolificio Ge-da Di Soave Gianfranco,https://www.dnb.com/business-directory/company-profiles.pantofolificio_ge_da_di_soave_gianfranco.177e1bd3f084420bc759c9cf70ab1458.html,,,,SUCCESSO,403.0
Pantofolificio Gorlese S.n.c. Di Colombo Giovanni E Colombo Cesare,https://ambriola.com/giovanni-colombo/,,,,SUCCESSO,200.0
"Donadoni E Colombo Sas Di Donadoni Claudio, Colombo Anselmo & C. C",https://www.notiziarioaraldico.info/2019090614824/un-libro-sui-donadoni/,,,,SUCCESSO,200.0
Erman S.n.c. Di Erculiani Franco,https://www.visura.pro/imprese/3848368161-erman-snc-di-erculiani-franco.html,,,,SUCCESSO,200.0
Maxima 1967 Srl,https://www.maximaonline.it/en/home-2/,,,,SUCCESSO,200.0
Mary Shoes Di Di Natale Giacomo S.n.c.,https://anamericaninrome.com/2019/06/di-san-giacomo-handmade-sandals-in-rome/,,,,SUCCESSO,200.0
Futura Di Zampieri Anna & C. S.a.s.,https://www.dnb.com/business-directory/company-profiles.futura_snc_di_dainese_giorgio_e_zampieri_anna.32bb403c709f5e287fa16e5cabde1e49.html,,,,SUCCESSO,403.0
Giune S.a.s. Di Re Matteo & C.,https://www.giune.it/en/about-us/,,,,SUCCESSO,200.0
Crb Calzaturifici Riuniti Bustesi S.r.l.,https://www.crb-italy.it/,,,,SUCCESSO,200.0
Barzaghi Snc Di F.lli Alberto E Gianfranco,https://local.italy724.info/en/barzaghi-snc-di-flli-alberto-e-gianfranco-39-0362-851207.html,,,,SUCCESSO,200.0
L.c.f. Di Battiani Luciano & C. - S.n.c.,https://www.dechecchiluciano.it/,,,,SUCCESSO,200.0
Mauri Shoes Srl,http://www.maurishoes.com/,,,,SUCCESSO,200.0
Calzaturificio Ester Srl,http://calzaturificioester.it/,,,,SUCCESSO,200.0
Zuber Snc Di Zuber Walter & C.,https://www.higginsmemorialhome.com/obituaries/Walter-J-Zuber?obId=27954899,,,,SUCCESSO,200.0
Calzaturificio Alida Srl,https://www.dnb.com/business-directory/company-profiles.calzaturificio_alida_srl.7fe1cbf0234705a0e3974f0ed7efb5f5.html,,,,SUCCESSO,403.0
Venti Srl,https://www.ventisrl.it/,,,,SUCCESSO,200.0
U S S Safety System Srl,https://safetystage.com/fall-protection/self-retracting-lifeline-inspection-requirements/,,,,SUCCESSO,200.0
Italmart Srl,https://www.dnb.com/business-directory/company-profiles.ital_mart_srl.1fcecc00381cbd596384d3da1c1bd04f.html,,,,SUCCESSO,403.0
Calzaturificio Zilio Snc Di Zilio Roberto E Stefano,https://www.paginebianche.it/saonara/calzaturificio-zilio-zilio-roberto-stefano.7150908,https://quifinanza.it,2.0,False,SUCCESSO,200.0
Calzaturificio Taurus Di De Gaspari Gino,https://www.calzaturificio-taurus.it/azienda.php,,,,SUCCESSO,200.0
Calzaturificio Josert Sas Di Tosato Fernanda & C.,https://www.coobiz.it/azienda/saonara-produzione-calzature/co1630760,,,,SUCCESSO,200.0
Mytym Srl,https://www.creditsafe.com/business-index/en-gb/company/mytym-srl-it04151028,,,,SUCCESSO,200.0
Alpi Trek Srl,https://prosafety.com/en/safety-s3/4106-visibly-safety-shoes-s3-src--trek-alpi.html,,,,SUCCESSO,200.0
Silni Sport Srl,https://www.ufficiocamerale.it/4722/silni-sport-srl,https://cloud.google.com/sustainability/region-carbon,2.0,False,SUCCESSO,200.0
Jolly Scarpe Spa,https://www.jollyscarpe.com/,,,,SUCCESSO,200.0
Tomaificio Fusion Sas Di Bertollo Francesco,https://www.impresaitalia.info/mstdb80124533/tomaificio-fusion-sas-di-bertollo-francesco/pianezze.aspx,,,,SUCCESSO,200.0
Tecno Riba Di Barbato Giampietro E Rizzato Oriana S.n.c.,https://reportazienda.it/aziende/PD/tecno-riba-di-barbato-giampietro-e-rizzato-oriana-snc-196962,,,,SUCCESSO,200.0
S.a.c. Snc Di Benetti Stefano & C.,https://www.dnb.com/business-directory/company-profiles.sac_snc_di_benetti_stefano__c.4ff04e352107bfbe833cc21229988481.html,,,,SUCCESSO,403.0
Zampieri S.r.l.,https://zampiericucine.it/en/,,,,SUCCESSO,200.0
Fac Sas Di Leonardo Callegaro E C.,https://www.dnb.com/business-directory/company-profiles.fac_sas_di_leonardo_callegaro_e_c.8dc7614e1a3dbdd44d68b97152062675.html,,,,SUCCESSO,403.0
Corinne Sas Di Baldan Antonio & C,https://www.axios.com/local/san-antonio/2024/02/23/corinne-san-antonio-plaza-hotel,,,,SUCCESSO,403.0
Tre Bi Snc Di Botter Bruno & C.,https://www.misterimprese.it/veneto/treviso/cornuda/calzature-produzione-e-vendita-ingrosso/788572.html,,,,SUCCESSO,200.0
Sarp Di Savietto Rita & C. S.n.c.,https://www.ufficiocamerale.it/6749/sarp-di-savietto-rita-c-snc,,,,SUCCESSO,200.0
Mavolma Sas Di Mazzarolo Sante & C.,https://www.dnb.com/business-directory/company-profiles.mavolma_sas_di_mazzarolo_giovanni__c.a38c76f8e80002f7ba3341a6000fc745.html,,,,SUCCESSO,403.0
Tacchificio Marco Di Fanton Vittorina & Figli Snc,https://www.oraridiapertura24.it/filiale/Stra%27-Tacchificio%20Marco%20Di%20Fanton%20Vittorina%20%26%20Figli%20Snc-2839723U.html,,,,SUCCESSO,404.0
Calzaturificio Roberta Di Stragliotto Giovanni E Stragliotto Bruno Snc,https://www.dnb.com/business-directory/company-profiles.calzaturificio_roberta_di_stragliotto_giovanni_e_stragliotto_bruno_snc.dbdea29332e19a170959ba55b88efd97.html,,,,SUCCESSO,403.0
Sociart Srl,https://www.facebook.com/sociart.agency/,,,,SUCCESSO,200.0
Comunello Matteo,https://www.facebook.com/people/Comunello-Matteo/100063774541933/,,,,SUCCESSO,200.0
Calzaturificio Altinea Di Salmaso Luigi E Alberto E C. S.n.c.,https://www.youtube.com/watch?v=2pV3AUOXRfE,,,,SUCCESSO,200.0
Due Effe Di Ferraresso Redento E C. S.n.c.,https://www.dueffe.com/chi-siamo/,,,,SUCCESSO,200.0
Tomaificio Artigiano Di Trolese Franca E C. S.a.s.,https://www.tomaificioas.it/,,,,SUCCESSO,200.0
Due F Di Ferraresso Mauro E Loris S.n.c.,https://www.dnb.com/business-directory/company-profiles.due_f_di_ferraresso_mauro.a94a6bef44d0cd428f4df7011fb98605.html,,,,SUCCESSO,403.0
Tranceria Stilmode Di Bugin Denis & C. Sas,https://shop.stilmoda.it/,,,,SUCCESSO,200.0
Tranceria Venezia S.n.c. Di Massaro Luca & C.,https://www.eccellenzeitaliane.com/aziende/tranceria-venezia-snc-di-massaro-luca-e-c/3096446,,,,SUCCESSO,200.0
Parimm Spa,https://www.booking.com/spa/city/ee/parnu.et.html,,,,SUCCESSO,200.0
Duegi Snc Di Cisamolo Giuseppe E Totolo Giovanna,https://www.duegi-snc.it/,,,,SUCCESSO,200.0
Ten.fra. S.a.s. Di Franzini Nicola & C.,https://atoka.io/public/it/azienda/tenfra-sas-di-franzini-nicola-c/e35f5edf5e7f,https://cloudsecurityalliance.org/star/registry/spaziodati-s-r-l,2.0,False,SUCCESSO,200.0
Simionato Sonia,https://www.facebook.com/sonia.simionato/,,,,SUCCESSO,200.0
D.b. Assemblaggi Di Bortolamiol Daniela,https://italialei.it/informazioni-dettagliate/33080422/db-assemblaggi-di-bortolamiol-daniela/,,,,SUCCESSO,200.0
Nord Shoe's Sas Di Gajo Onorato & C.,https://www.misterimprese.it/veneto/treviso/caerano-di-san-marco/calzature-vendita-al-dettaglio/780521.html,,,,SUCCESSO,200.0
Tomaificio Botter Bruno & C. Snc,https://www.bloomberg.com/profile/company/5594797Z:IM,,,,SUCCESSO,200.0
Deon Egidio,https://www.textileinfomedia.com/business-info/Deon-Egidio,,,,SUCCESSO,200.0
Fra.mar. - Societa' A Responsabilita' Limitata - In Sigla - Fra.mar. S.r.l.,https://www.reportaziende.it/framar_societa_e_a_responsabilita_e_limitata_in_sigla_framar_srl_ve_02690240276,,,,SUCCESSO,200.0
Calzaturificio Elisa S.r.l.,https://elisabet.it/,,,,SUCCESSO,200.0
Solettificio Emmepi Snc Di Pavanello Giampietro & C.,https://www.cylex-italia.it/vigonovo-vigonovo/solettificio-emmepi-di-pavanello-giampietro---c--s-n-c--6777478.html,,,,SUCCESSO,403.0
Prexport S.r.l.,https://www.prexport.com/en/home-en/,,,,SUCCESSO,200.0
Calzaturificio Padana Di Agostini F. E C. Snc,https://www.impresaitalia.info/mstdb80397650/calzaturificio-padana-di-agostini-f-e-c-snc/vigonza.aspx,,,,SUCCESSO,200.0
Noelanj S.r.l.,https://us.nolan.it/us,,,,SUCCESSO,200.0
4 R Di Righetto Renzo E C. Snc,http://www.rerrettifiche.it/,,,,ERRORE,
Original Sergio Salmaso Srl,https://salmasovenezia.it/index_it.html,,,,SUCCESSO,200.0
Adriatica Suole Srl,http://www.faitadriatica.it/,,,,SUCCESSO,200.0
Ditta Tronchin Silvio,https://www.tronchin.it/servizi,,,,SUCCESSO,200.0
Calzaturificio Martin S.a.s. Di Montesso Silvio & C.,https://www.sanmartincalzaturificio.com/content/20-brand-san-martin,,,,SUCCESSO,200.0
Calzaturificio Mary Di Fasoli Angelo,https://www.calzaturedesigned.com/,https://www.paginesispa.it,2.0,False,SUCCESSO,200.0
Tullio Sport S.n.c. Di Dal Bello Tullio & C.,https://www.informazione-aziende.it/Azienda_TULLIO-SPORT-SNC-DI-DAL-BELLO-TULLIO-C,,,,SUCCESSO,200.0
Damer Sport Di Merotto Diego,https://www.yelp.com/biz/damer-sport-di-merotto-diego-montebelluna,,,,SUCCESSO,200.0
Pravato Gianni,https://www.facebook.com/public/Gianni-Pravato/,,,,SUCCESSO,200.0
G.m.b. Snc Di Gastaldello Benvenuto E C.,https://www.dnb.com/business-directory/company-profiles.gmb_arte_veneta_snc_di_gastaldello_benvenuto.757adb432b6f2e137859ad0c27306a8c.html,,,,SUCCESSO,403.0
Tacchificio Cristina Di Bettin Otello E C. Snc,https://tacchificiocristina.it/,,,,SUCCESSO,200.0
Calzaturificio Dibal Di Ballin Raffaella & C. Snc,https://www.laconceria.it/calzatura/riviera-del-brenta-fallisce-il-calzaturificio-ballin-franco/,,,,SUCCESSO,200.0
Calzaturificio Tre Emme Snc Di Merlo Lino & C.,http://www.treemmecalzature.com/,,,,SUCCESSO,200.0
Tacchificio Bordin Snc Di Bordin Cristina E C.,https://tacchificiocristina.it/,,,,SUCCESSO,200.0
Logan Spa,https://www.theloganhotel.com/spa-wellness,,,,SUCCESSO,200.0
Ennesport Srl,https://www.linkedin.com/company/ennesport-srl,https://www.linkedin.com/pulse/topics/home/?trk=organization_guest_guest_nav_menu_articles,2.0,False,SUCCESSO,200.0
T.a.b. Srl,https://www.dnb.com/business-directory/company-profiles.taab_srl.97d50924a4a3fd3d07ba59175b3e7eea.html,,,,SUCCESSO,403.0
Eurosolnova Srl,https://www.dnb.com/business-directory/company-profiles.eurosolnova_srl.e1fc5a2b9e7d759477012a81c3bb1829.html,,,,SUCCESSO,403.0
Robert Production Di Fasolo Roberto,https://www.robertodipaolo.com/en/,,,,SUCCESSO,200.0
Calzalegno Srl,https://www.dnb.com/business-directory/company-profiles.calcagno_srl.d09563a9152871d9a53d5552c1220e18.html,,,,SUCCESSO,403.0
Calzaturificio Diotto Di Quagliotto Claudio & C. S.a.s.,https://www.yelp.com/biz/calzaturificio-diotto-di-quagliotto-claudio-and-c-sas-maser,,,,SUCCESSO,200.0
D.b. & Graphic Snc Di Sabrina Maschio E C,https://www.impresaitalia.info/mstdb80566002/db-e-graphic-snc-di-sabrina-maschio-e-c/noventa-padovana.aspx,,,,SUCCESSO,200.0
Azzurra Suole Di Scanferla Ferdinando,https://www.ivolleymagazine.it/2023/09/05/pallavolo-eurovolley2023-leonardo-scanferla-e-un-sogno-vedere-i-palazzetti-pieni-ci-da-la-carica-non-vediamo-lora-di-scendere-in-campo/,,,,SUCCESSO,200.0
Precoma Ortensio,https://www.facebook.com/people/Ortensio-Precoma/61553899679843/,,,,SUCCESSO,200.0
Euroworld Di Tocchetto Fabio & C Sas,https://www.euroworld.it/,,,,SUCCESSO,200.0
Calzaturificio Orma Di Martignago Ortensio,https://www.patriziashoes.com/en/the-company/calzaturificio/,,,,SUCCESSO,200.0
Calzaturificio Tre C Di Cecchetto Adriano E C. S.a.s.,https://www.qdpnews.it/comuni/cortina-dampezzo/alpinisti-in-difficolta-recuperati-in-tofana-con-elicottero-e-due-verricelli/,,,,SUCCESSO,200.0
Calzaturificio 2001 - S.n.c. Di Fantinato & C.,https://www.dnb.com/business-directory/company-profiles.calzaturificio_2001_srl.4c790a60b3394b55bcca1762b881e876.html,,,,SUCCESSO,403.0
Tomaificio Darin S.n.c. Di Dal Zovo Rino E C.,https://aziende.verona.it/attivita-manifatturiere/fabbricazione-di-calzature/,,,,SUCCESSO,200.0
Giunteria Hellas Di Cristini Marco Antonio E C. S.n.c.,https://www.coobiz.it/azienda/rivoli-veronese-sede/sede/1634632,,,,SUCCESSO,200.0
Ricamificio Ilarione Di Righetto Giovanni E C. S.n.c.,https://everestricami.it/,,,,SUCCESSO,200.0
Sueva S.n.c. Di Evaledi Tiziana & Chiovetto Franca,https://www.impresaitalia.info/mstdb80587301/sueva-snc-di-evaledi-tiziana-e-chiovetto-franca/ronco-all-adige.aspx,,,,SUCCESSO,200.0
Tagliatura Ti Emme Di Marcazzan Claudio E Zambon Aldo S.n.c.,https://aziende.verona.it/attivita-manifatturiere/fabbricazione-di-calzature/,,,,SUCCESSO,200.0
Calzaturificio B.m. Di Burlo Daniele E C. Snc,https://www.ufficiocamerale.it/2868/calzaturificio-bm-di-burlo-daniele-e-c-snc,,,,SUCCESSO,200.0
Calzaturificio Civetta Snc Di Zambon Mario & C.,https://www.dnb.com/business-directory/company-profiles.calzaturificio_pienne_di_giunti_mario_e_c_snc.13f3a1df7895c96f74e6577aeadd2bcd.html,,,,SUCCESSO,403.0
Euroglobe Srl,https://www.dnb.com/business-directory/company-profiles.euroglobe_home_design_srl.ed79b94f384ca401f31cb3faae25050f.html,,,,SUCCESSO,403.0
Calzaturificio Brera S.r.l.,https://www.cylex-italia.it/fosso/calzaturificio-brera-s-r-l--11185991.html,,,,SUCCESSO,403.0
Taglio Pellami S.a.s. Di Callegaro Paride,https://reportazienda.it/aziende/VE/taglio-pellami-sas-di-callegaro-paride-242247,,,,SUCCESSO,200.0
Tranceria Effe & Erre S.n.c. Di Gottardo Flavio & Renato,https://www.trancefferre.com/,,,,SUCCESSO,200.0
Max - Angel S.a.s. Di Gallo Max & C.,https://www.dnb.com/business-directory/company-profiles.max_-_angel_sas_di_gallo_max__c.79cac0d949bd0f170ce92c8d585b3c36.html,,,,SUCCESSO,403.0
Serafino S.n.c. Di Serafin Aldo & Rossi Fernanda,https://www.paginebianche.it/mestre/serafino-serafin-aldo-rossi-fernanda.11618410,https://quifinanza.it,2.0,False,SUCCESSO,200.0
Futura S.n.c. Di Boscaro Graziella,https://www.impresaitalia.info/mstdb80631964/futura-snc-di-boscaro-graziella/mirano.aspx,,,,SUCCESSO,200.0
Immobiliare Bruna S.n.c. Di Bruna Pagnin & C.,https://www.dnb.com/business-directory/company-profiles.immobiliare_bruna_snc_di_bruna_pagnin__c.c62c7c6c967d23c43b0d87876bc90a45.html,,,,SUCCESSO,403.0
F.lli Ferro Di Ferro Roberto E C. Snc,https://www.lamolisana.it/chi-siamo/spirito-tenace-una-storia-di-famiglia/la-nostra-storia/,,,,SUCCESSO,200.0
F.lli Malin Silvio E Renzo Alfonso S.n.c.,https://www.fratellimalin.com/,,,,SUCCESSO,200.0
Handy Sas Di Pasqualotto Lorena & C.,https://www.facebook.com/people/Climatec-sas-di-Pasqualotto-Gimmy-C/100063466451000/,,,,SUCCESSO,200.0
Fioratti Loris & C. S.d.f.,https://www.dnb.com/business-directory/company-profiles.fioratti_loris__c_sdf.2f2072f412e70ff8a8df819616f8fe92.html,,,,SUCCESSO,403.0
Effe - Erre S.n.c. Di Anselmi Flavia E Anselmi Rosanna,https://www.effe-erre.com/en/,,,,SUCCESSO,200.0
Emmezeta Di Milani Francesco E C. S.a.s.,https://emmezeta.it/azienda/,,,,SUCCESSO,200.0
Sildar S.n.c. Di Bernini Mirella E Martini Silvano,https://www.impresaitalia.info/mstdb80654837/sildar-snc-di-bernini-mirella-e-martini-silvano/zevio.aspx,,,,SUCCESSO,200.0
