Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website,URLPositivo,NellaHomepage,Significativo,EsitoRichiesta,CodiceRisposta
TACCHIFICIO VILLA CORTESE -S.R.L.,,,Milano,Lombardia,https://tvcgroup.it/,https://www.ansa.it/industry_4_0/notizie/storie_impresa/2021/04/29/arrivano-le-scarpe-di-lusso-con-tacchi-tracciati-su-blockchain_caeeeae2-7f00-4476-9bca-16b9e4681b5a.html,,True,SUCCESSO,200.0
PERON – S.R.L.,,,Venezia,Veneto,https://www.peronshoes.it/technology/,https://www.peronshoes.it/technology/,,True,SUCCESSO,200.0
BOTTEGA VENETA S.R.L.,1824610248.0,151209.0,Vicenza,Veneto,http://www.bottegaveneta.com,,,,SUCCESSO,200.0
SALVATORE FERRAGAMO S.P.A.,2175200480.0,152010.0,Firenze,Toscana,group.ferragamo.com,,,,SUCCESSO,200.0
YVES SAINT LAURENT MANIFATTURE S.R.L.,6196900481.0,151209.0,Firenze,Toscana,www.ysl.com,,,,SUCCESSO,200.0
BALENCIAGA LOGISTICA S.R.L.,6196910480.0,151209.0,Firenze,Toscana,http://www.balenciaga.com,,,,SUCCESSO,200.0
CONCERIA PASUBIO S.P.A.,165480245.0,151100.0,Vicenza,Veneto,http://www.pasubio.com,,,,SUCCESSO,200.0
GRUPPO MASTROTTO S.P.A.,2629600244.0,151100.0,Vicenza,Veneto,www.mastrotto.com,,,,SUCCESSO,200.0
ALPINESTARS S.P.A.,1171110263.0,152010.0,Treviso,Veneto,http://www.alpinestarsinc.com,,,,TIMEOUT,
RINO MASTROTTO GROUP S.P.A.,2723000242.0,151100.0,Vicenza,Veneto,www.rinomastrotto.com,,,,SUCCESSO,200.0
CELINE PRODUCTION S.R.L. -,1667950487.0,151209.0,Firenze,Toscana,http://www.celine.fr,,,,SUCCESSO,200.0
LEO SHOES S.R.L.,4338410758.0,152010.0,Lecce,Puglia,http://www.leoshoes.it,,,,SUCCESSO,200.0
RENATO CORTI S.P.A.,6248980960.0,151209.0,Milano,Lombardia,www.renatocorti.it,,,,SUCCESSO,200.0
IMAC S.P.A.,985500446.0,152010.0,Ascoli Piceno,Marche,www.igieco.it,,,,SUCCESSO,200.0
GRISPORT S.P.A.,541850269.0,152010.0,Treviso,Veneto,grisport.it,,,,SUCCESSO,500.0
MABI INTERNATIONAL S.R.L.,1428220303.0,151209.0,Udine,Friuli-Venezia Giulia,mabi.it,,,,SUCCESSO,200.0
DIADORA S.P.A.,4308510264.0,152010.0,Treviso,Veneto,www.diadora.com,,,,SUCCESSO,200.0
FAEDA S.P.A.,3209700248.0,151100.0,Vicenza,Veneto,www.faeda.com,,,,SUCCESSO,200.0
CALZATURIFICIO S.C.A.R.P.A. S.P.A.,173370263.0,152010.0,Treviso,Veneto,world.scarpa.com,,,,SUCCESSO,200.0
POLLINI S.P.A.,2589540406.0,152010.0,Forlì-Cesena,Emilia-Romagna,http://www.pollini.com,,,,SUCCESSO,200.0
DANI S.P.A.,552430985.0,151100.0,Vicenza,Veneto,www.gruppodani.com,,,,SUCCESSO,200.0
COFRA S.R.L.,2850580727.0,152010.0,Barletta-Andria-Trani,Puglia,www.cofra.it,,,,TIMEOUT,
CALZATURIFICIO GENSI GROUP S.R.L.,1775460676.0,152010.0,Teramo,Abruzzo,www.calzaturificiogensi.com,,,,ERRORE,
FONTANA PELLETTERIE S.P.A.,833190150.0,151209.0,Milano,Lombardia,www.fontanamilano1915.it,,,,ERRORE,
B.A.G. S.P.A.,1485570442.0,152010.0,Fermo,Marche,nerogiardini.it,,,,SUCCESSO,200.0
LOWA R&D S.R.L.,625550264.0,152000.0,Treviso,Veneto,lowa.it,,,,SUCCESSO,200.0
ROVEDA SRL,12197290153.0,152010.0,Milano,Lombardia,www.roveda1955.com,,,,SUCCESSO,200.0
MARIO LEVI S.P.A.,5285410014.0,151100.0,Torino,Piemonte,mariolevi.com,,,,SUCCESSO,200.0
DIAMANT S.R.L.,2922140237.0,152010.0,Verona,Veneto,www.ciclostar.it,,,,SUCCESSO,200.0
SANTONI SOCIETA' PER AZIONI,1806460430.0,152010.0,Milano,Lombardia,www.santonishoes.com,,,,SUCCESSO,200.0
LAMIPEL-S.P.A.,1259430500.0,151100.0,Pisa,Toscana,www.lamipel.it,,,,SUCCESSO,200.0
FALC S.P.A.,347770430.0,152010.0,Macerata,Marche,www.falcotto.com,,,,SUCCESSO,200.0
GIANVITO ROSSI S.R.L.,3591680404.0,152010.0,Forlì-Cesena,Emilia-Romagna,www.gianvitorossi.com,,,,SUCCESSO,200.0
GUERRIERO PRODUZIONE PELLETTERIE S.R.L.,6253000639.0,151209.0,Napoli,Campania,www.guerrierosrl.eu,,,,SUCCESSO,200.0
PREMIATA SRL,1467490445.0,152010.0,Milano,Lombardia,mille885.com,,,,SUCCESSO,200.0
ROSSIMODA S.R.L.,350530283.0,152010.0,Padova,Veneto,rossimoda.com,,,,SUCCESSO,200.0
CREST LEATHER ITALIA S.R.L.,3906160241.0,151100.0,Vicenza,Veneto,www.crestleather.com,,,,SUCCESSO,200.0
AMA S.R.L.,3395630159.0,150000.0,Milano,Lombardia,http://www.ama-milano.it/it/,,,,SUCCESSO,200.0
COCCINELLE S.P.A.,478330343.0,151209.0,Parma,Emilia-Romagna,http://www.coccinelle.com,,,,SUCCESSO,200.0
CONCERIA NUTI IVO - SOCIETA' PER AZIONI,1600380503.0,151100.0,Pisa,Toscana,www.nutiivo.it/nutiivo,,,,SUCCESSO,404.0
TRIPEL DUE S.R.L.,4718020482.0,151209.0,Firenze,Toscana,tripeldue.it,,,,SUCCESSO,200.0
DSQUARED2 S.P.A.,5377120968.0,152010.0,Milano,Lombardia,dsquared2.com,,,,SUCCESSO,200.0
PIQUADRO S.P.A.,2554531208.0,151209.0,Bologna,Emilia-Romagna,ru.piquadro.com,,,,SUCCESSO,200.0
GIUSEPPE ZANOTTI S.P.A.,2067600409.0,152010.0,Forlì-Cesena,Emilia-Romagna,www.giuseppezanotti.ru,,,,SUCCESSO,200.0
FREELAND S.R.L.,5031920480.0,152010.0,Firenze,Toscana,www.freelandcalzature.it,,,,SUCCESSO,200.0
PELLETTERIE PALLADIO S.R.L. DI LANGELLA,2295070243.0,151209.0,Vicenza,Veneto,pelletteriepalladio.it,,,,SUCCESSO,200.0
ARTISANS SHOES S.R.L.,360830442.0,152010.0,Fermo,Marche,http://www.italianshoes.com,,,,SUCCESSO,200.0
BONAUDO S.P.A.,474700010.0,151100.0,Milano,Lombardia,http://www.bonaudo.com,,,,SUCCESSO,200.0
RUSSO DI CASANDRINO S.P.A.,1238111213.0,151100.0,Napoli,Campania,www.russodicasandrino.com,,,,SUCCESSO,200.0
CONCERIA CRISTINA S.P.A. - UNIPERSONALE,2441120249.0,151100.0,Vicenza,Veneto,http://www.gruppoperetti.com,,,,SUCCESSO,200.0
SEVEN S.P.A.,963330014.0,151209.0,Torino,Piemonte,yub.it,,,,SUCCESSO,200.0
CALZATURIFICIO JUMBO S.P.A.,1279690232.0,152010.0,Verona,Veneto,www.calzaturificiojumbo.it,,,,SUCCESSO,200.0
EUROSUOLE - S.P.A.,252600432.0,152020.0,Macerata,Marche,www.eurosuole.com,,,,SUCCESSO,200.0
OLIP ITALIA S.P.A.,384170239.0,152010.0,Verona,Veneto,www.as-98.com,,,,SUCCESSO,200.0
MARBELLA PELLAMI SPA,481840502.0,151100.0,Pisa,Toscana,www.conceriamarbella.it,,,,SUCCESSO,200.0
MANIFATTURA BERLUTI S.R.L.,11351490153.0,152010.0,Ferrara,Emilia-Romagna,http://www.berluti.com,,,,SUCCESSO,200.0
LOTTO SPORT ITALIA S.P.A.,3456770266.0,152010.0,Treviso,Veneto,lottosport.com,,,,SUCCESSO,200.0
MASONI INDUSTRIA CONCIARIA S.P.A.,1592920506.0,151100.0,Pisa,Toscana,www.masonispa.com,,,,SUCCESSO,200.0
BASE PROTECTION S.R.L.,6617940728.0,152010.0,Barletta-Andria-Trani,Puglia,www.baseprotection.fr,,,,SUCCESSO,200.0
GRUPPO CONCIARIO C.M.C. INTERNATIONAL S.P.A. SOCIETA' BENEFIT,1086720503.0,151100.0,Pisa,Toscana,www.cuoioditoscana.it,,,,SUCCESSO,200.0
NILLAB MANIFATTURE ITALIANE S.P.A.,4610220271.0,152010.0,Venezia,Veneto,www.nillab.it,,,,SUCCESSO,200.0
SIRP S.P.A.,2999870245.0,151100.0,Vicenza,Veneto,http://www.sirp.com,,,,SUCCESSO,200.0
CONCERIA ANTIBA S.P.A.,1015070509.0,151100.0,Pisa,Toscana,www.antiba.it,,,,SUCCESSO,200.0
THE BRIDGE S.P.A.,4253320487.0,151209.0,Firenze,Toscana,lancel.com,,,,SUCCESSO,200.0
DIMAR GROUP S.P.A.,2202670564.0,151209.0,Viterbo,Lazio,www.dimargroup.com,,,,SUCCESSO,200.0
CONCERIA INCAS SOCIETA' PER AZIONI,124880501.0,151100.0,Pisa,Toscana,www.iniziativeconciarieassociate.it,,,,SUCCESSO,200.0
TIVOLI GROUP - SOCIETA' PER AZIONI,1349601003.0,151209.0,Roma,Lazio,www.tivoligroup.it,,,,SUCCESSO,200.0
MENGHI SOCIETA' PER AZIONI OVVERO IN FORMA ABBREVIATA MENGHI S.P.A.,9461340961.0,152010.0,Milano,Lombardia,www.menghishoes.com,,,,SUCCESSO,200.0
FINCO 1865 S.P.A.,785430240.0,151100.0,Vicenza,Veneto,www.finco1865.it,,,,SUCCESSO,200.0
TRE ZETA GROUP S.P.A.,1842780502.0,152020.0,Pisa,Toscana,www.trezetagroup.com,,,,SUCCESSO,200.0
CONCERIA CADORE S.R.L.,656130242.0,151100.0,Vicenza,Veneto,conceriacadore.it,,,,SUCCESSO,200.0
DALBELLO S.R.L.,1837220266.0,152010.0,Treviso,Veneto,www.dalbello.it,,,,ERRORE,
CONCERIA MONTEBELLO S.P.A.,584940241.0,151100.0,Vicenza,Veneto,www.montebello-tannery.it,,,,SUCCESSO,200.0
UVEX - CAGI S.R.L.,199840042.0,152010.0,Cuneo,Piemonte,http://www.uvex.de,,,,TIMEOUT,
RENE' CAOVILLA S.P.A.,166690271.0,152010.0,Venezia,Veneto,www.caovilla.com,,,,SUCCESSO,200.0
SERGIO ROSSI SPA,3132190400.0,152010.0,Forlì-Cesena,Emilia-Romagna,www.sergiorossi.com,,,,SUCCESSO,200.0
MASPICA S.R.L.,4009100282.0,152010.0,Padova,Veneto,www.sixton.it,,,,SUCCESSO,200.0
BALDININI - S.R.L.,1727100404.0,152010.0,Forlì-Cesena,Emilia-Romagna,shoesmyway.baldinini-shop.com,,,,SUCCESSO,200.0
BONIS - S.P.A.,854160264.0,152010.0,Treviso,Veneto,www.bonis-spa.com,,,,SUCCESSO,200.0
RENZO FAVERO S.R.L.,1453790295.0,152010.0,Rovigo,Veneto,http://www.renzofavero.com,,,,SUCCESSO,200.0
ELISABET SRL,2208680443.0,152010.0,Fermo,Marche,elisabet.it,,,,SUCCESSO,200.0
BRANDS INDUSTRY S.R.L.,3759020237.0,151209.0,Padova,Veneto,www.brandsindustry.com,,,,TIMEOUT,
HIDE S.P.A.,1970080287.0,151100.0,Padova,Veneto,www.hide.it,,,,SUCCESSO,200.0
VALMOR S.R.L.,1175300431.0,152010.0,Macerata,Marche,valmor.it,,,,SUCCESSO,200.0
GARSPORT S.R.L.,1917040261.0,152010.0,Treviso,Veneto,shop.garsport.it,,,,SUCCESSO,200.0
CALZATURIFICIO CLAUDIA - SOCIETA' PER AZIONI,366950467.0,152010.0,Lucca,Toscana,www.gmitaliane.it/claudia/,,,,SUCCESSO,200.0
CONCERIA SUPERIOR S.P.A.,104190509.0,151100.0,Pisa,Toscana,www.superior.it,,,,SUCCESSO,200.0
CALZATURIFICIO SKANDIA S.P.A.,3580790263.0,152010.0,Treviso,Veneto,skandiashoes.com,,,,ERRORE,
"BRIC'S INDUSTRIA VALIGERIA FINE - S.P.A. O, IN ABBREVIATO, BRIC'S S.P.A.",793550138.0,151209.0,Como,Lombardia,http://www.brics.it,,,,SUCCESSO,200.0
CONCERIA STEFANIA S.P.A.,4879720151.0,151100.0,Milano,Lombardia,www.stefania.it,,,,SUCCESSO,200.0
B.C.N. CONCERIE S.P.A.,294820501.0,151100.0,Pisa,Toscana,www.bcn.it,,,,ERRORE,
CALZATURIFICIO PETRA - S.R.L.,435100482.0,152010.0,Firenze,Toscana,http://www.petrashoes.it,,,,SUCCESSO,200.0
CALZATURIFICIO ORION S.P.A.,2018450284.0,152010.0,Padova,Veneto,www.orionspa.com,,,,ERRORE,
DANIEL - S.R.L.,3140880489.0,151209.0,Prato,Toscana,www.portaliboutique.it,,,,TIMEOUT,
CALZATURIFICIO CARMENS S.P.A.,1502380288.0,152010.0,Padova,Veneto,www.carmens.it,,,,SUCCESSO,200.0
SELLE ITALIA S.R.L.,652320243.0,151200.0,Treviso,Veneto,us.devselle.it,,,,ERRORE,
CONCERIA ZUMA PELLI PREGIATE SRL,2184430508.0,151100.0,Pisa,Toscana,www.zumapellipregiate.com,,,,SUCCESSO,200.0
PM S.R.L.,4364240277.0,152010.0,Padova,Veneto,www.philippemodel.com,,,,SUCCESSO,200.0
CALZATURIFICIO RODOLFO ZENGARINI - S.R.L.,780760443.0,152010.0,Fermo,Marche,www.rodolfozengariniofficial.com,,,,SUCCESSO,200.0
SEYMECHAMLOU S.R.L.,13417980151.0,152010.0,Milano,Lombardia,eu.christianlouboutin.com/it_en/,,,,SUCCESSO,200.0
MANIFATTURE LOMBARDE S.R.L.,9847720969.0,151209.0,Milano,Lombardia,www.manifatturelombarde.it,,,,SUCCESSO,200.0
GRUPPO PERETTI S.P.A.,1924290248.0,151100.0,Vicenza,Veneto,http://www.gruppoperetti.com,,,,SUCCESSO,200.0
CARAVEL PELLI PREGIATE S.P.A.,5143740487.0,151100.0,Pisa,Toscana,www.caravelspa.com,,,,SUCCESSO,200.0
CAPRI FOOTWEAR INDUSTRIES S.R.L.,484600473.0,152010.0,Pistoia,Toscana,www.albertogozzi.it,,,,SUCCESSO,200.0
DEK MANIFATTURE SRL,6667441213.0,152010.0,Napoli,Campania,www.decristofaroshoes.com,,,,SUCCESSO,200.0
CONCERIA SETTEBELLO S.P.A.,205010507.0,151100.0,Pisa,Toscana,www.settebelloconceria.it,,,,SUCCESSO,200.0
CONCERIA GAIERA GIOVANNI S.P.A.,693030157.0,151100.0,Milano,Lombardia,www.gaiera.eu,,,,SUCCESSO,200.0
SPIRALE S.R.L.,1802460228.0,152010.0,Trento,Trentino-Alto Adige,www.spirale.it,,,,SUCCESSO,200.0
NORTHWAVE S.R.L.,1572560991.0,152010.0,Treviso,Veneto,www.northwave.com,,,,SUCCESSO,200.0
SIDI SPORT S.R.L.,317780260.0,152010.0,Treviso,Veneto,www.sidi.com,,,,SUCCESSO,200.0
PELLETTERIA ALMAX S.R.L.,3772260489.0,151209.0,Firenze,Toscana,www.pelletteriaalmax.com,,,,SUCCESSO,503.0
I.C.A. - INDUSTRIA CONCIARIA ARZIGNANESE S.P.A.,142300243.0,151100.0,Vicenza,Veneto,http://www.icaleather.it,,,,SUCCESSO,200.0
CRISPI SPORT S.R.L.,1760300267.0,152010.0,Treviso,Veneto,www.crispi.it,,,,SUCCESSO,200.0
FRASSON S.P.A.,3397900261.0,152010.0,Treviso,Veneto,frasson.com,,,,SUCCESSO,200.0
EXENA SRL,1336080435.0,152010.0,Macerata,Marche,www.exena.it,,,,SUCCESSO,200.0
IL BISONTE S.P.A.,2076930482.0,151209.0,Firenze,Toscana,www.ilbisonte.com,,,,SUCCESSO,200.0
PRIMA EASTERN S.P.A.,1539900694.0,151200.0,Chieti,Abruzzo,www.pscomponents.eu,,,,SUCCESSO,200.0
RIVER GROUP S.P.A.,6595170488.0,152010.0,Firenze,Toscana,www.gmitaliane.it,,,,SUCCESSO,200.0
BENIT S.R.L.,4698840487.0,152010.0,Firenze,Toscana,www.benit.it,,,,SUCCESSO,503.0
CONCERIA VOLPIANA S.P.A.,1521690246.0,151100.0,Vicenza,Veneto,www.conceriavolpiana.it,,,,TIMEOUT,
BORBONESE S.P.A.,1703261204.0,151209.0,Milano,Lombardia,http://www.borbonese.com,,,,SUCCESSO,200.0
GORETTI S.R.L.,2783180421.0,152020.0,Ancona,Marche,goretti.it,,,,SUCCESSO,200.0
A.S.S.O. S.P.A.,1125370443.0,152010.0,Fermo,Marche,http://www.assoitaly.it,,,,SUCCESSO,200.0
BMB MANIFATTURA BORSE S.P.A.,6776850486.0,151209.0,Firenze,Toscana,www.bmb-manifatturaborse.com,,,,SUCCESSO,200.0
DOLMEN S.P.A.,459090502.0,151100.0,Pisa,Toscana,www.dolmenspa.com,,,,SUCCESSO,200.0
AKU ITALIA S.R.L.,4295240263.0,152010.0,Treviso,Veneto,www.aku.it,,,,SUCCESSO,200.0
CARISMA - S.P.A.,3406550651.0,151100.0,Salerno,Campania,http://www.carismaleather.it,,,,ERRORE,
GARMONT INTERNATIONAL S.R.L.,4643700265.0,152010.0,Treviso,Veneto,uk.garmont.com,,,,SUCCESSO,200.0
FEBOS S.R.L.,3517220269.0,152010.0,Treviso,Veneto,www.febos.com,,,,SUCCESSO,200.0
FLY FLOT S.R.L.,3277360982.0,152010.0,Brescia,Lombardia,www.flyflot.it,,,,SUCCESSO,200.0
INGROPELLI - SOCIETA' A RESPONSABILITA' LIMITATA SIGLABILE ANCHE INGROPELLI - S.R.L.,3884570486.0,151100.0,Firenze,Toscana,www.ingropelli.it,,,,TIMEOUT,
DEVICONCIA S.R.L.,230260648.0,151100.0,Milano,Lombardia,www.deviconcia.it,,,,SUCCESSO,200.0
INDUSTRIA PELLAMI VALDARNO INTERNATIONAL S.P.A.,1361360504.0,151100.0,Pisa,Toscana,www.valdarno.it,,,,SUCCESSO,200.0
CORRADO MARETTO S.R.L.,3686750286.0,152010.0,Padova,Veneto,www.maretto.it,,,,SUCCESSO,404.0
ARTIGIANI VENEZIANI S.R.L.,1499010278.0,151209.0,Venezia,Veneto,www.artigianiveneziani.it,,,,SUCCESSO,200.0
3 C - LAVORAZIONE PELLI S.R.L.,1989660244.0,151100.0,Vicenza,Veneto,www.conceria3c.it,,,,SUCCESSO,200.0
GAB GROUP SRL,5985700482.0,151209.0,Firenze,Toscana,www.gabgroup.it,,,,SUCCESSO,200.0
MORESCHI S.P.A.,333260180.0,152010.0,Pavia,Lombardia,www.moreschi.it,,,,SUCCESSO,200.0
GREY MER S.R.L.,1186220404.0,152010.0,Forlì-Cesena,Emilia-Romagna,www.greymer.it,,,,SUCCESSO,200.0
LA PATRIE S.R.L.,2158950507.0,151100.0,Pisa,Toscana,lapatrie.it,,,,SUCCESSO,200.0
PELLETTERIE SAGI S.R.L.,3274540248.0,151209.0,Vicenza,Veneto,sagipelletterie.com,,,,SUCCESSO,200.0
CONCERIA PRIANTE S.R.L.,803660240.0,151100.0,Vicenza,Veneto,http://www.conceriapriante.com,,,,SUCCESSO,200.0
LA GRIFFE S.R.L.,8408390964.0,152010.0,Milano,Lombardia,www.lagriffe.it,,,,SUCCESSO,200.0
SIVA - INDUSTRIA PELLI S.R.L.,1362490037.0,151100.0,Novara,Piemonte,www.sivapelli.com,,,,SUCCESSO,200.0
SILVER 1 S.R.L.,2525730392.0,152010.0,Ravenna,Emilia-Romagna,www.raftinggoldstar.com,,,,SUCCESSO,200.0
STILEMA S.R.L.,4421140015.0,151209.0,Milano,Lombardia,http://www.stilema.com,,,,SUCCESSO,200.0
CALZATURIFICIO CASADEI SOCIETA' PER AZIONI O IN FORMA ABBREVIAT A CALZATURIFICIO CASADEI S.P.A.,918440405.0,152010.0,Forlì-Cesena,Emilia-Romagna,casadei.com,,,,SUCCESSO,200.0
ATTILIO GIUSTI LEOMBRUNI S.P.A.,1125410447.0,152010.0,Fermo,Marche,www.agl.com,,,,SUCCESSO,200.0
RINALDI CONCERIA S.R.L. (SOCIETA' CON UNICO SOCIO),5853000486.0,151100.0,Firenze,Toscana,www.rinaldiconceria.com,,,,SUCCESSO,200.0
MANDARINA DUCK S.P.A.,820861201.0,151209.0,Milano,Lombardia,utility.mandarinaduck.com,,,,ERRORE,
CALZATURIFICIO DUCA DEL NORD S.R.L.,1119660445.0,152010.0,Fermo,Marche,www.officinecreativeitalia.com,,,,TIMEOUT,
FALCO PELLAMI SPA,997700505.0,151100.0,Pisa,Toscana,www.falco.it,,,,SUCCESSO,200.0
LA.I.PE. - LAVORAZIONE ITALIANA PELLETTERIE - S.P.A.,334670437.0,151209.0,Macerata,Marche,www.cromia.it,,,,SUCCESSO,200.0
COLONNELLI 2 PUNTOZERO S.R.L.,2113150672.0,151209.0,Roma,Lazio,www.colonnellimanifatture.com,,,,SUCCESSO,200.0
GRUPPO VECCHIA TOSCANA S.P.A.,3070480482.0,151100.0,Firenze,Toscana,www.english.ilceaconceria.it,,,,SUCCESSO,200.0
PRESTIGE ITALIA S.P.A.,3418460246.0,151209.0,Vicenza,Veneto,www.prestigeitalia.com,,,,SUCCESSO,200.0
CALZATURIFICIO ARKTE S.R.L.,6917490150.0,152010.0,Milano,Lombardia,www.calzaturificioarkte.com,,,,SUCCESSO,200.0
CONCERIA NUOVA IMPALA - S.R.L.,1042520500.0,151100.0,Pisa,Toscana,www.nuovaimpala.com,,,,SUCCESSO,200.0
PERIN SRL,1882520248.0,152010.0,Vicenza,Veneto,www.perinspa.it,,,,SUCCESSO,200.0
M.G.M. S.P.A.,3084300171.0,152010.0,Treviso,Veneto,www.mgmspa.eu,,,,SUCCESSO,200.0
ASOLO S.R.L.,3385130269.0,152000.0,Treviso,Veneto,www.asolo.com,,,,SUCCESSO,403.0
DE ROBERT CALZATURE S.R.L.,2002930283.0,152010.0,Padova,Veneto,www.derobert.com,,,,SUCCESSO,200.0
CAMPOMAGGI & CATERINA LUCCHI S.P.A.,3487580403.0,151209.0,Forlì-Cesena,Emilia-Romagna,www.campomaggi.com,,,,SUCCESSO,200.0
CALZATURIFICIO FRAU S.P.A.,799810239.0,152010.0,Verona,Veneto,www.cromier.it,,,,SUCCESSO,200.0
GAERNE S.P.A.,1833670266.0,152010.0,Treviso,Veneto,www.gaerne.com,,,,SUCCESSO,200.0
TREND S.R.L.,5379610487.0,151209.0,Firenze,Toscana,www.trendsrl.eu,,,,TIMEOUT,
MEDUSA S.R.L.,964270292.0,152010.0,Rovigo,Veneto,medusashoes.com,,,,SUCCESSO,200.0
CONCERIA GI. ELLE. EMME. S.P.A.,321050502.0,151100.0,Pisa,Toscana,gielleemme.it,,,,SUCCESSO,200.0
SCIARADA INDUSTRIA CONCIARIA S.P.A.,1047170509.0,151100.0,Pisa,Toscana,http://www.sciarada.it,,,,TIMEOUT,
PELLETTERIE GIANCARLO S.R.L.,1513630481.0,151209.0,Firenze,Toscana,www.pelletteriegiancarlo.net,,,,SUCCESSO,200.0
STONEFLY SPA,3282540263.0,152010.0,Treviso,Veneto,www.stonefly.it/,,,,SUCCESSO,200.0
LINEA C GROUP S.R.L.,3456370174.0,152010.0,Brescia,Lombardia,www.lineacshoes.com,,,,SUCCESSO,200.0
VESTA CORPORATION S.P.A.,1915730509.0,151100.0,Pisa,Toscana,www.vestacorp.it,,,,SUCCESSO,200.0
CARAVELLE S.R.L.,166700278.0,152010.0,Padova,Veneto,www.caravelleshoes.it,,,,SUCCESSO,200.0
FORMIFICIO ROMAGNOLO - S.P.A.,139210405.0,152020.0,Forlì-Cesena,Emilia-Romagna,www.formificioromagnolo.com,,,,SUCCESSO,200.0
WALLES S.R.L.,1518980246.0,152010.0,Vicenza,Veneto,www.walles.it,,,,SUCCESSO,200.0
CONDOR TRADE S.R.L.,1540490982.0,152010.0,Brescia,Lombardia,www.inblu.com,,,,SUCCESSO,200.0
CALZATURIFICIO SAN GIORGIO S.R.L.,162930507.0,152000.0,Pisa,Toscana,www.sangiorgiosrl.com,,,,SUCCESSO,200.0
