Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website
GIUSEPPE ZANOTTI S.P.A.,02067600409,152010,Forlì-Cesena,Emilia-Romagna,www.giuseppezanotti.ru
FREELAND S.R.L.,05031920480,152010,Firenze,Toscana,www.freelandcalzature.it
PELLETTERIE PALLADIO S.R.L. DI LANGELLA,02295070243,151209,Vicenza,Veneto,pelletteriepalladio.it
ARTISANS SHOES S.R.L.,00360830442,152010,Fermo,Marche,http://www.italianshoes.com
BONAUDO S.P.A.,00474700010,151100,Milano,Lombardia,http://www.bonaudo.com
RUSSO DI CASANDRINO S.P.A.,01238111213,151100,Napoli,Campania,www.russodicasandrino.com
CONCERIA CRISTINA S.P.A. - UNIPERSONALE,02441120249,151100,Vicenza,Veneto,http://www.gruppoperetti.com
SEVEN S.P.A.,00963330014,151209,Torino,Piemonte,yub.it
CALZATURIFICIO JUMBO S.P.A.,01279690232,152010,Verona,Veneto,www.calzaturificiojumbo.it
EUROSUOLE - S.P.A.,00252600432,152020,Macerata,Marche,www.eurosuole.com
OLIP ITALIA S.P.A.,00384170239,152010,Verona,Veneto,www.as-98.com
MARBELLA PELLAMI SPA,00481840502,151100,Pisa,Toscana,www.conceriamarbella.it
MANIFATTURA BERLUTI S.R.L.,11351490153,152010,Ferrara,Emilia-Romagna,http://www.berluti.com
LOTTO SPORT ITALIA S.P.A.,03456770266,152010,Treviso,Veneto,lottosport.com
MASONI INDUSTRIA CONCIARIA S.P.A.,01592920506,151100,Pisa,Toscana,www.masonispa.com
BASE PROTECTION S.R.L.,06617940728,152010,Barletta-Andria-Trani,Puglia,www.baseprotection.fr
GRUPPO CONCIARIO C.M.C. INTERNATIONAL S.P.A. SOCIETA' BENEFIT,01086720503,151100,Pisa,Toscana,www.cuoioditoscana.it
NILLAB MANIFATTURE ITALIANE S.P.A.,04610220271,152010,Venezia,Veneto,www.nillab.it
SIRP S.P.A.,02999870245,151100,Vicenza,Veneto,http://www.sirp.com
CONCERIA ANTIBA S.P.A.,01015070509,151100,Pisa,Toscana,www.antiba.it
THE BRIDGE S.P.A.,04253320487,151209,Firenze,Toscana,lancel.com
DIMAR GROUP S.P.A.,02202670564,151209,Viterbo,Lazio,www.dimargroup.com
CONCERIA INCAS SOCIETA' PER AZIONI,00124880501,151100,Pisa,Toscana,www.iniziativeconciarieassociate.it
TIVOLI GROUP - SOCIETA' PER AZIONI,01349601003,151209,Roma,Lazio,www.tivoligroup.it
MENGHI SOCIETA' PER AZIONI OVVERO IN FORMA ABBREVIATA MENGHI S.P.A.,09461340961,152010,Milano,Lombardia,www.menghishoes.com
FINCO 1865 S.P.A.,00785430240,151100,Vicenza,Veneto,www.finco1865.it
TRE ZETA GROUP S.P.A.,01842780502,152020,Pisa,Toscana,www.trezetagroup.com
CONCERIA CADORE S.R.L.,00656130242,151100,Vicenza,Veneto,conceriacadore.it
DALBELLO S.R.L.,01837220266,152010,Treviso,Veneto,www.dalbello.it
CONCERIA MONTEBELLO S.P.A.,00584940241,151100,Vicenza,Veneto,www.montebello-tannery.it
UVEX - CAGI S.R.L.,00199840042,152010,Cuneo,Piemonte,http://www.uvex.de
RENE' CAOVILLA S.P.A.,00166690271,152010,Venezia,Veneto,www.caovilla.com
SERGIO ROSSI SPA,03132190400,152010,Forlì-Cesena,Emilia-Romagna,www.sergiorossi.com
MASPICA S.R.L.,04009100282,152010,Padova,Veneto,www.sixton.it
BALDININI - S.R.L.,01727100404,152010,Forlì-Cesena,Emilia-Romagna,shoesmyway.baldinini-shop.com
BONIS - S.P.A.,00854160264,152010,Treviso,Veneto,www.bonis-spa.com
RENZO FAVERO S.R.L.,01453790295,152010,Rovigo,Veneto,http://www.renzofavero.com
ELISABET SRL,02208680443,152010,Fermo,Marche,elisabet.it
BRANDS INDUSTRY S.R.L.,03759020237,151209,Padova,Veneto,www.brandsindustry.com
HIDE S.P.A.,01970080287,151100,Padova,Veneto,www.hide.it
VALMOR S.R.L.,01175300431,152010,Macerata,Marche,valmor.it
GARSPORT S.R.L.,01917040261,152010,Treviso,Veneto,shop.garsport.it
CALZATURIFICIO CLAUDIA - SOCIETA' PER AZIONI,00366950467,152010,Lucca,Toscana,www.gmitaliane.it/claudia/
CONCERIA SUPERIOR S.P.A.,00104190509,151100,Pisa,Toscana,www.superior.it
CALZATURIFICIO SKANDIA S.P.A.,03580790263,152010,Treviso,Veneto,skandiashoes.com
"BRIC'S INDUSTRIA VALIGERIA FINE - S.P.A. O, IN ABBREVIATO, BRIC'S S.P.A.",00793550138,151209,Como,Lombardia,http://www.brics.it
BULGARI ACCESSORI S.R.L.,05571910487,151209,Firenze,Toscana,www.bulgari.com
CONCERIA STEFANIA S.P.A.,04879720151,151100,Milano,Lombardia,www.stefania.it
B.C.N. CONCERIE S.P.A.,00294820501,151100,Pisa,Toscana,www.bcn.it
CALZATURIFICIO PETRA - S.R.L.,00435100482,152010,Firenze,Toscana,http://www.petrashoes.it
CALZATURIFICIO ORION S.P.A.,02018450284,152010,Padova,Veneto,www.orionspa.com
DANIEL - S.R.L.,03140880489,151209,Prato,Toscana,www.portaliboutique.it
CALZATURIFICIO CARMENS S.P.A.,01502380288,152010,Padova,Veneto,www.carmens.it
SELLE ITALIA S.R.L.,00652320243,151200,Treviso,Veneto,us.devselle.it
CONCERIA ZUMA PELLI PREGIATE SRL,02184430508,151100,Pisa,Toscana,www.zumapellipregiate.com
PM S.R.L.,04364240277,152010,Padova,Veneto,www.philippemodel.com
CALZATURIFICIO RODOLFO ZENGARINI - S.R.L.,00780760443,152010,Fermo,Marche,www.rodolfozengariniofficial.com
SEYMECHAMLOU S.R.L.,13417980151,152010,Milano,Lombardia,eu.christianlouboutin.com/it_en/
MANIFATTURE LOMBARDE S.R.L.,09847720969,151209,Milano,Lombardia,www.manifatturelombarde.it
GRUPPO PERETTI S.P.A.,01924290248,151100,Vicenza,Veneto,http://www.gruppoperetti.com
CARAVEL PELLI PREGIATE S.P.A.,05143740487,151100,Pisa,Toscana,www.caravelspa.com
CAPRI FOOTWEAR INDUSTRIES S.R.L.,00484600473,152010,Pistoia,Toscana,www.albertogozzi.it
DEK MANIFATTURE SRL,06667441213,152010,Napoli,Campania,www.decristofaroshoes.com
CONCERIA SETTEBELLO S.P.A.,00205010507,151100,Pisa,Toscana,www.settebelloconceria.it
CONCERIA GAIERA GIOVANNI S.P.A.,00693030157,151100,Milano,Lombardia,www.gaiera.eu
SPIRALE S.R.L.,01802460228,152010,Trento,Trentino-Alto Adige,www.spirale.it
NORTHWAVE S.R.L.,01572560991,152010,Treviso,Veneto,www.northwave.com
SIDI SPORT S.R.L.,00317780260,152010,Treviso,Veneto,www.sidi.com
PELLETTERIA ALMAX S.R.L.,03772260489,151209,Firenze,Toscana,www.pelletteriaalmax.com
I.C.A. - INDUSTRIA CONCIARIA ARZIGNANESE S.P.A.,00142300243,151100,Vicenza,Veneto,http://www.icaleather.it
CRISPI SPORT S.R.L.,01760300267,152010,Treviso,Veneto,www.crispi.it
FRASSON S.P.A.,03397900261,152010,Treviso,Veneto,frasson.com
EXENA SRL,01336080435,152010,Macerata,Marche,www.exena.it
IL BISONTE S.P.A.,02076930482,151209,Firenze,Toscana,www.ilbisonte.com
PRIMA EASTERN S.P.A.,01539900694,151200,Chieti,Abruzzo,www.pscomponents.eu
RIVER GROUP S.P.A.,06595170488,152010,Firenze,Toscana,www.gmitaliane.it
BENIT S.R.L.,04698840487,152010,Firenze,Toscana,www.benit.it
CONCERIA VOLPIANA S.P.A.,01521690246,151100,Vicenza,Veneto,www.conceriavolpiana.it
BORBONESE S.P.A.,01703261204,151209,Milano,Lombardia,http://www.borbonese.com
GORETTI S.R.L.,02783180421,152020,Ancona,Marche,goretti.it
A.S.S.O. S.P.A.,01125370443,152010,Fermo,Marche,http://www.assoitaly.it
BMB MANIFATTURA BORSE S.P.A.,06776850486,151209,Firenze,Toscana,www.bmb-manifatturaborse.com
DOLMEN S.P.A.,00459090502,151100,Pisa,Toscana,www.dolmenspa.com
AKU ITALIA S.R.L.,04295240263,152010,Treviso,Veneto,www.aku.it
CARISMA - S.P.A.,03406550651,151100,Salerno,Campania,http://www.carismaleather.it
GARMONT INTERNATIONAL S.R.L.,04643700265,152010,Treviso,Veneto,uk.garmont.com
FEBOS S.R.L.,03517220269,152010,Treviso,Veneto,www.febos.com
FLY FLOT S.R.L.,03277360982,152010,Brescia,Lombardia,www.flyflot.it
INGROPELLI - SOCIETA' A RESPONSABILITA' LIMITATA SIGLABILE ANCHE INGROPELLI - S.R.L.,03884570486,151100,Firenze,Toscana,www.ingropelli.it
DEVICONCIA S.R.L.,00230260648,151100,Milano,Lombardia,www.deviconcia.it
INDUSTRIA PELLAMI VALDARNO INTERNATIONAL S.P.A.,01361360504,151100,Pisa,Toscana,www.valdarno.it
CORRADO MARETTO S.R.L.,03686750286,152010,Padova,Veneto,www.maretto.it
ARTIGIANI VENEZIANI S.R.L.,01499010278,151209,Venezia,Veneto,www.artigianiveneziani.it
3 C - LAVORAZIONE PELLI S.R.L.,01989660244,151100,Vicenza,Veneto,www.conceria3c.it
GAB GROUP SRL,05985700482,151209,Firenze,Toscana,www.gabgroup.it
MORESCHI S.P.A.,00333260180,152010,Pavia,Lombardia,www.moreschi.it
GREY MER S.R.L.,01186220404,152010,Forlì-Cesena,Emilia-Romagna,www.greymer.it
LA PATRIE S.R.L.,02158950507,151100,Pisa,Toscana,lapatrie.it
PELLETTERIE SAGI S.R.L.,03274540248,151209,Vicenza,Veneto,sagipelletterie.com
CONCERIA PRIANTE S.R.L.,00803660240,151100,Vicenza,Veneto,http://www.conceriapriante.com
LA GRIFFE S.R.L.,08408390964,152010,Milano,Lombardia,www.lagriffe.it
SIVA - INDUSTRIA PELLI S.R.L.,01362490037,151100,Novara,Piemonte,www.sivapelli.com
SILVER 1 S.R.L.,02525730392,152010,Ravenna,Emilia-Romagna,www.raftinggoldstar.com
STILEMA S.R.L.,04421140015,151209,Milano,Lombardia,http://www.stilema.com
CALZATURIFICIO CASADEI SOCIETA' PER AZIONI O IN FORMA ABBREVIAT A CALZATURIFICIO CASADEI S.P.A.,00918440405,152010,Forlì-Cesena,Emilia-Romagna,casadei.com
ATTILIO GIUSTI LEOMBRUNI S.P.A.,01125410447,152010,Fermo,Marche,www.agl.com
RINALDI CONCERIA S.R.L. (SOCIETA' CON UNICO SOCIO),05853000486,151100,Firenze,Toscana,www.rinaldiconceria.com
MANDARINA DUCK S.P.A.,00820861201,151209,Milano,Lombardia,utility.mandarinaduck.com
CALZATURIFICIO DUCA DEL NORD S.R.L.,01119660445,152010,Fermo,Marche,www.officinecreativeitalia.com
FALCO PELLAMI SPA,00997700505,151100,Pisa,Toscana,www.falco.it
LA.I.PE. - LAVORAZIONE ITALIANA PELLETTERIE - S.P.A.,00334670437,151209,Macerata,Marche,www.cromia.it
COLONNELLI 2 PUNTOZERO S.R.L.,02113150672,151209,Roma,Lazio,www.colonnellimanifatture.com
GRUPPO VECCHIA TOSCANA S.P.A.,03070480482,151100,Firenze,Toscana,www.english.ilceaconceria.it
PRESTIGE ITALIA S.P.A.,03418460246,151209,Vicenza,Veneto,www.prestigeitalia.com
CALZATURIFICIO ARKTE S.R.L.,06917490150,152010,Milano,Lombardia,www.calzaturificioarkte.com
CONCERIA NUOVA IMPALA - S.R.L.,01042520500,151100,Pisa,Toscana,www.nuovaimpala.com
PERIN SRL,01882520248,152010,Vicenza,Veneto,www.perinspa.it
M.G.M. S.P.A.,03084300171,152010,Treviso,Veneto,www.mgmspa.eu
ASOLO S.R.L.,03385130269,152000,Treviso,Veneto,www.asolo.com
DE ROBERT CALZATURE S.R.L.,02002930283,152010,Padova,Veneto,www.derobert.com
CAMPOMAGGI & CATERINA LUCCHI S.P.A.,03487580403,151209,Forlì-Cesena,Emilia-Romagna,www.campomaggi.com
CALZATURIFICIO FRAU S.P.A.,00799810239,152010,Verona,Veneto,www.cromier.it
GAERNE S.P.A.,01833670266,152010,Treviso,Veneto,www.gaerne.com
TREND S.R.L.,05379610487,151209,Firenze,Toscana,www.trendsrl.eu
MEDUSA S.R.L.,00964270292,152010,Rovigo,Veneto,medusashoes.com
CONCERIA GI. ELLE. EMME. S.P.A.,00321050502,151100,Pisa,Toscana,gielleemme.it
SCIARADA INDUSTRIA CONCIARIA S.P.A.,01047170509,151100,Pisa,Toscana,http://www.sciarada.it
PELLETTERIE GIANCARLO S.R.L.,01513630481,151209,Firenze,Toscana,www.pelletteriegiancarlo.net
STONEFLY SPA,03282540263,152010,Treviso,Veneto,www.stonefly.it/
LINEA C GROUP S.R.L.,03456370174,152010,Brescia,Lombardia,www.lineacshoes.com
VESTA CORPORATION S.P.A.,01915730509,151100,Pisa,Toscana,www.vestacorp.it
CARAVELLE S.R.L.,00166700278,152010,Padova,Veneto,www.caravelleshoes.it
FORMIFICIO ROMAGNOLO - S.P.A.,00139210405,152020,Forlì-Cesena,Emilia-Romagna,www.formificioromagnolo.com
WALLES S.R.L.,01518980246,152010,Vicenza,Veneto,www.walles.it
CONDOR TRADE S.R.L.,01540490982,152010,Brescia,Lombardia,www.inblu.com
CALZATURIFICIO SAN GIORGIO S.R.L.,00162930507,152000,Pisa,Toscana,www.sangiorgiosrl.com
LAMONTI CUOIO S.P.A. SOCIETA' BENEFIT,01294790504,151100,Pisa,Toscana,www.lamonti.it
CALZATURIFICIO 5 BI S.R.L.,04056210729,152010,Barletta-Andria-Trani,Puglia,www.bicap.it
MARIO LEVI ITALIA S.R.L,03099810248,151100,Vicenza,Veneto,www.marioleviitalia.it
CONCERIA FERRARI S.R.L.,01588520245,151100,Vicenza,Veneto,http://www.ferrarilasi.it/conceria
CONCERIA SAN BIAGIO S.R.L.,00922430244,151100,Vicenza,Veneto,www.vicenzapelli.com
GIOVANNI MONTE S.R.L.,04608190965,152010,Milano,Lombardia,www.assocalzaturifici.it/ancimain/crm?id=432
CONCERIA PEGASO S.P.A.,01158910503,151100,Firenze,Toscana,www.albagroup.it
ATELIER HCI S.R.L.,08866610960,152010,Milano,Lombardia,www.hermes.com
FONPELLI - S.P.A.,01705980249,151100,Vicenza,Veneto,www.fonpelli.it
CALZATURIFICIO DEMA S.R.L.,02742450618,152010,Caserta,Campania,www.demacalzature.it
LES FEMMES S.R.L.,01681430441,152010,Fermo,Marche,www.calzaturificiolesfemmes.com
DERMA SOCIETA' A RESPONSABILITA' LIMITATA,00207330648,151100,Avellino,Campania,http://www.conceriaderma.it
CONCERIA ZONTA - S.P.A.,00144240249,151100,Vicenza,Veneto,http://www.conceriazonta.com
OPERA S.R.L.,01970310502,151100,Pisa,Toscana,www.conceriaopera.it
BBM INTERNATIONAL S.R.L.,11945150156,151100,Milano,Lombardia,www.bbminternational.it
LEMIE - S.P.A.,00583700166,151209,Bergamo,Lombardia,www.lemie.it
DA.MI. - S.R.L.,00412840449,152020,Fermo,Marche,dami.it
CALZATURIFICIO PANDA SPORT,00263440745,152000,Brindisi,Puglia,www.pandasafety.com
CALZATURIFICIO PATRIZIA S.R.L.,00679350983,152010,Brescia,Lombardia,www.patriziashoes.com
CALZATURIFICIO ZAMBERLAN S.R.L.,01274380243,152010,Vicenza,Veneto,eu.zamberlan.com
CALZATURIFICIO CALLEGARI S.R.L.,00762630291,152010,Rovigo,Veneto,callegaricalzature.it
CONCERIA LA VENETA S.P.A.,02721270243,151100,Vicenza,Veneto,www.concerialaveneta.com
CURTIBA INDUSTRIA CONCIARIA SPA,01419160500,151100,Pisa,Toscana,www.curtiba.it
CARASCO S.P.A.,01361760505,151100,Pisa,Toscana,www.carasco.eu
ESAPEL - S.P.A.,01235840244,151100,Vicenza,Veneto,www.esapel.com
MOSAICON SHOES S.R.L.,03177461203,152010,Pavia,Lombardia,mariocerutti.it
DOUCAL'S S.R.L.,01025590447,152010,Fermo,Marche,www.doucals.com
GGDB / SIRIO S.R.L.,04095090611,152010,Napoli,Campania,www.calzaturificiosirio.it
ZEIS EXCELSA S.P.A.,00101700441,152010,Fermo,Marche,www.zeisexcelsa.it
CONCERIA TOLIO S.P.A.,00164110249,151100,Vicenza,Veneto,conceriatolio.com
VIGNOLA NOBILE S.P.A.,02362030641,151100,Avellino,Campania,http://www.vignolanobile.com
VICTORIA - S.R.L.,01084560505,151100,Pisa,Toscana,conceriavictoria.it
CLEO BOTTIER F.LLI MONDELLINI SRL,00380580159,152010,Milano,Lombardia,www.cleobottier.com
PANTHER SRL,04340280280,152010,Padova,Veneto,panthersafety.it
ALBA & N.S.R.L.,06471190725,152010,Barletta-Andria-Trani,Puglia,www.albaen.it
M & G SRL,00692420268,152010,Treviso,Veneto,www.megfootwear.com
CALZATURIFICIO FRATELLI SOLDINI - S.P.A.,00100020510,152010,Arezzo,Toscana,calzaturificiosoldini.it
CALZATURIFICIO MARITAN S.P.A.,02443890237,152000,Verona,Veneto,www.calzaturificiomaritanspa.it
B.S.Z. S.P.A.,00285570248,151100,Vicenza,Veneto,www.bszitaly.com
CONCERIA GUERINO S.R.L.,07997520155,151100,Milano,Lombardia,www.conceriaguerino.it
CORIUM LINE SRL,02749870164,151209,Padova,Veneto,www.coriumlinepelletterie.com
SANLORENZO S.P.A.,01510810508,151100,Pisa,Toscana,www.sanlorenzospa.it
ONLY FRANK S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA,02203990649,151100,Salerno,Campania,www.onlyfrank.it
DALLA BENETTA LUIGI S.R.L.,01908730243,151100,Vicenza,Veneto,www.dallabenetta.com
S.I.R.I.O. LAVORAZIONE CONCIARIA S.R.L.,03028980484,151100,Firenze,Toscana,http://www.sirio-srl.it
JERA S.R.L.,03407490246,151100,Vicenza,Veneto,www.jera.eu
POLETTO S.R.L.,02626120246,151100,Vicenza,Veneto,www.polettoleathers.com
LELLI KELLY - SOCIETA' PER AZIONI ABBREVIABILE IN: LELLI KELLY S.P.A.,01063110462,152010,Lucca,Toscana,www.lellikelly.it
GRUPPO SELLERIA EQUIPE S.P.A.,02601230242,151209,Vicenza,Veneto,www.selleriaequipe.it
CUNIAL - COMPONENTS S.R.L.,04152250264,152010,Treviso,Veneto,www.cunial.it
A.B. FLORENCE S.R.L.,02159880489,151209,Firenze,Toscana,abflorence.it
CUOIFICIO BISONTE S.P.A.,00115010506,151100,Pisa,Toscana,www.cuoificiobisonte.it
OVER TEAK S.R.L.,04130560727,152010,Barletta-Andria-Trani,Puglia,uniwork.it
MEET ITALIA SRL,01843370261,152010,Treviso,Veneto,http://www.meetitalia.it
CLUB SHOES S.R.L.,02212040469,152010,Lucca,Toscana,www.clubshoessrl.com
LORIBLU SPA,02109250445,152010,Fermo,Marche,it.loriblu.com
EURASIA S.R.L.,02715810285,152010,Venezia,Veneto,pos.eurasia.is.it
GIASCO S.R.L.,02442840241,152010,Vicenza,Veneto,www.giasco.com
CALZATURIFICIO DEI COLLI - S.R.L.,00157830209,152010,Mantova,Lombardia,www.deicolli.it
PELLICAN S.R.L.,02238630483,151100,Firenze,Toscana,www.pellican.it
CONCERIA TRIS SPA,00163270242,151100,Vicenza,Veneto,www.conceriatris.it
SUOLIFICIO NEGRO SRL,03080020260,152020,Treviso,Veneto,www.negroweb.it
PRIMORPELLI S.P.A.,01112170509,151100,Pisa,Toscana,http://www.primorpelli.it
SICAP S.R.L.,01537730440,152010,Fermo,Marche,www.lesilla.com
BOEMOS S.P.A. - INDUSTRIA CALZATURE,04340070483,152010,Firenze,Toscana,www.boemos.it
NATCO S.P.A.,04154010724,151100,Bari,Puglia,www.natuzzi.com
DEAN S.P.A.INDUSTRIA CONCIARIA PELLI,07829160634,151100,Napoli,Campania,www.deanspa.it/
LEVA S.P.A.,04848830016,151209,Torino,Piemonte,www.levaspa.com
VOLPI CONCERIE S.P.A.,01702320506,151100,Pisa,Toscana,www.volpiconcerie.it
ECOPELL 2000 S.R.L.,01506490505,151100,Pisa,Toscana,www.ecopell.it
LSM S.R.L.,03546700612,151209,Caserta,Campania,http://www.lsmsrl.com
PREALPINA S.R.L.,02630900245,151100,Vicenza,Veneto,www.prealpinatannery.com
GALIZIO TORRESI S.R.L.,01713220430,152010,Macerata,Marche,www.galiziotorresi.it
BAMBOLETTA - S.R.L.,01096680432,152010,Macerata,Marche,www.bamboletta.it
ZETATI - S.R.L.,03225520489,151209,Firenze,Toscana,www.zetati.it
CALZATURIFICIO EMMEGIEMME SHOES S.R.L.,02649330756,152010,Lecce,Puglia,www.maimai.it
CONCERIA TRUST S.R.L.,03702050240,151100,Vicenza,Veneto,conceriatrust.it
SALMASO VENEZIA S.R.L.,04600820270,152010,Venezia,Veneto,www.salmasovenezia.it
GEMINI ITALIA S.P.A.,01362570184,152000,Brescia,Lombardia,www.geminitalia.it
TIESSE S.P.A.,03152120261,152010,Treviso,Veneto,http://www.tiessespa.it
CONCERIA LEONICA S.P.A.,00168590248,151100,Vicenza,Veneto,www.leonica.com
MUSTANG S.R.L.,04013670486,152010,Firenze,Toscana,www.calzaturificiomustang.it
GIANO S.R.L.,00733460448,152010,Fermo,Marche,www.giano.eu
PELLETTERIE BIANCHI E NARDI S.P.A.,00385830484,151209,Firenze,Toscana,www.bianchienardi.it
CONCERIA ITALIA S.P.A.,00079430245,151100,Vicenza,Veneto,www.conceriaitalia.com
SUOLIFICIO MAGONIO S.R.L.,04515490482,152020,Firenze,Toscana,www.suolificiomagonio.it
CHIORINO TECHNOLOGY S.P.A.,02181730025,151100,Milano,Lombardia,chiorinotechnology.com
CONCERIA FERRERO - S.P.A.,05831810014,151100,Torino,Piemonte,http://www.conceriaferrero.com
AKSOLUT S.R.L.,03749900365,152010,Verona,Veneto,www.aksolut.com
CAPPELLETTI S.R.L.,01205600446,152010,Fermo,Marche,www.cappelletti.it
CALZATURIFICIO ROMIT S.P.A.,01218910444,152010,Fermo,Marche,www.romit.it
RODO FIRENZE SOCIETA' PER AZIONI,01060350434,152010,Macerata,Marche,rodo.it
CONCERIA LABA S.R.L.,02093530240,151100,Vicenza,Veneto,http://www.concerialaba.it
LA BIESSEUNO S.R.L.,03178490235,151100,Verona,Veneto,labiesseuno.com
ARTIGIANA FARNESE S.R.L.,01242860334,151200,Piacenza,Emilia-Romagna,www.artigianafarnese.it
JOLLY SCARPE S.P.A.,01549260261,152010,Treviso,Veneto,www.jollyscarpe.com
FALCO S.R.L.,02323210506,152010,Pisa,Toscana,www.marcoshoes.it
LA SCARPA S.R.L.,01827950500,151100,Pisa,Toscana,www.mauriziocasini.it
CONCERIA M2 S.R.L.,00214710501,151100,Pisa,Toscana,www.conceriam2.com
CONCERIA CERVINIA S.P.A.,00349110239,151100,Verona,Veneto,cerviniaspa.it
SERGIO NATALINI S.R.L.,01299680478,152010,Pistoia,Toscana,www.sergionatalini.it
ITALPELLI S.R.L.,00956680292,151100,Vicenza,Veneto,http://www.italpelli.com
EDEA S.R.L.,03621080260,152010,Treviso,Veneto,edeaskates.com
ITALSFORM S.P.A.,01641560402,152020,Forlì-Cesena,Emilia-Romagna,www.italsform.it
SI-FUR S.P.A.,01036910501,151100,Pisa,Toscana,www.eng.sifur.it
ARZIGNANESE S.R.L.,02306830247,151100,Vicenza,Veneto,www.icaleather.it
VINGI SHOES S.R.L. CON SOCIO UNICO,00844870725,152010,Barletta-Andria-Trani,Puglia,http://www.vingishoes.com
MONTANA S.P.A.,01297280503,151100,Pisa,Toscana,www.montana.it
CALZATURIFICIO BUTTERO S.R.L.,03496950480,152010,Firenze,Toscana,http://www.buttero.it
